,Loss
0,91.67608859601592
1,79.81110165812986
2,79.05018750786591
3,79.12580288814652
4,79.00030361480425
5,78.86372581053392
6,78.74563539093418
7,78.33669788939163
8,78.5111653733918
9,78.63733020819127
10,78.21695702859508
11,78.7296235543728
12,78.15106138229153
13,78.27490001612962
14,78.35387365532598
15,78.09918732719754
16,78.00392428508927
17,78.07720802381111
18,78.44613898978919
19,77.96292053786298
20,78.17857541253784
21,77.95948615062608
22,78.40097516390284
23,78.02681151955207
24,78.29886237370364
25,78.02605042424004
26,77.70722295317812
27,78.04305869130786
28,77.93137494490337
29,77.99322927818156
30,78.09280402576431
31,77.85461949653187
32,77.84263844170431
33,77.52562322469244
34,78.05927671422278
35,77.83972359406195
36,78.11830053446579
37,77.80922417352824
38,78.10582725569888
39,77.74816757575883
40,77.85771866180615
41,77.40702621580408
42,77.77942561468431
43,77.97254313336616
44,77.58661685644662
45,77.63528638973527
46,77.59541549216061
47,77.71274100174881
48,77.74007746372357
49,77.55098159569206
50,77.73703351499191
51,77.72456452550443
52,77.6468982287114
