,Loss
0,71.58978810001565
1,61.75450981861009
2,61.149207054623986
3,61.19946393804067
4,61.0707678497444
5,60.97338648531402
6,60.90169476749471
7,60.53343819875388
8,60.69289560449641
9,60.8168517848923
10,60.45144065097243
11,60.899409099039445
12,60.40871793463486
13,60.52928611690259
14,60.57388551117732
15,60.361857473713236
16,60.306754381529416
17,60.336175077720924
18,60.64263250709198
19,60.25769351927573
20,60.4621550051371
21,60.2623890131031
22,60.59371330848791
23,60.30447719840711
24,60.52064170287095
25,60.30904939108523
26,60.05278854888963
27,60.30887512361626
28,60.21916825101641
29,60.28696544030265
30,60.337780135287105
31,60.17805335805097
32,60.14656140473724
33,59.89016020570564
34,60.33916049069544
35,60.14908766951968
36,60.404721640178856
37,60.15830208609515
38,60.34681403692651
39,60.073311115113746
40,60.13797271477544
41,59.82401214476258
42,60.077803063533345
43,60.281137921533436
44,59.92346297140789
45,59.985742365050186
46,59.9442971511262
47,60.04224531397655
48,60.04186327018722
49,59.899346355254636
50,60.04878564328908
51,60.03049054320407
52,59.97739084458431
