,complexity,loss,equation,score,sympy_format,lambda_format
0,1,40.204155,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,16.8033,C_in / 1.4643202,0.4361975264008815,C_in/1.4643202,PySRFunction(X=>C_in/1.4643202)
2,5,16.573563,(C_in + 1.0063574) / 1.5304366,0.006883230105058285,(C_in + 1.0063574)/1.5304366,PySRFunction(X=>(C_in + 1.0063574)/1.5304366)
3,6,4.4309177,C_in / exp(Distance * 0.00085893803),1.3192021171214983,C_in/exp(Distance*0.00085893803),PySRFunction(X=>C_in/exp(Distance*0.00085893803))
4,7,2.7324522,C_in / ((Distance * 0.001611699) + 0.743876),0.4834072705820631,C_in/(Distance*0.001611699 + 0.743876),PySRFunction(X=>C_in/(Distance*0.001611699 + 0.743876))
5,9,1.2669766,(C_in * 17.469036) / ((Distance / Area) + 12.921526),0.3842830077164703,C_in*17.469036/(12.921526 + Distance/Area),PySRFunction(X=>C_in*17.469036/(12.921526 + Distance/Area))
6,10,1.1656836,C_in / square((Distance * (0.025142433 / Area)) + 0.8790817),0.08332573629963722,C_in/((0.8790817 + Distance*0.025142433/Area)**2),PySRFunction(X=>C_in/((0.8790817 + Distance*0.025142433/Area)**2))
7,12,1.1028498,C_in / square(((Distance / (Area - -5.824041)) * 0.029644368) + 0.87174577),0.027705069558350885,C_in/((Distance*0.029644368/(Area - 1*(-5.824041)) + 0.87174577)**2),PySRFunction(X=>C_in/((Distance*0.029644368/(Area - 1*(-5.824041)) + 0.87174577)**2))
8,13,1.0356978,C_in / square(((Distance * 0.026713686) / (Area + exp(V_in))) + 0.87676287),0.0628221544849086,C_in/((Distance*0.026713686/(Area + exp(V_in)) + 0.87676287)**2),PySRFunction(X=>C_in/((Distance*0.026713686/(Area + exp(V_in)) + 0.87676287)**2))
9,15,0.79373693,(C_in / exp(Distance * (0.06986404 / (Area + sqrt(Distance * V_in))))) * 1.3085848,0.1330392987478732,1.3085848*C_in*exp(-0.06986404*Distance/(Area + sqrt(Distance*V_in))),PySRFunction(X=>1.3085848*C_in*exp(-0.06986404*Distance/(Area + sqrt(Distance*V_in))))
10,17,0.72898847,((C_in * 1.3439802) + -0.5795584) / exp(Distance * (0.070526086 / (Area + sqrt(V_in * Distance)))),0.04254708411628833,(1.3439802*C_in - 0.5795584)*exp(-0.070526086*Distance/(Area + sqrt(Distance*V_in))),PySRFunction(X=>(1.3439802*C_in - 0.5795584)*exp(-0.070526086*Distance/(Area + sqrt(Distance*V_in))))
11,18,0.7139748,C_in * (1.3749118 / (exp(0.07247436 * (Distance / (sqrt(V_in * Distance) + Area))) + inv(C_in))),0.020810248097938695,1.3749118*C_in/(exp(0.07247436*Distance/(Area + sqrt(Distance*V_in))) + 1/C_in),PySRFunction(X=>1.3749118*C_in/(exp(0.07247436*Distance/(Area + sqrt(Distance*V_in))) + 1/C_in))
12,19,0.71245974,(C_in * 1.3691007) / ((0.85604364 / C_in) + exp((Distance / (sqrt(V_in * Distance) + Area)) * 0.0723517)),0.002124262315920102,1.3691007*C_in/(exp(0.0723517*Distance/(Area + sqrt(Distance*V_in))) + 0.85604364/C_in),PySRFunction(X=>1.3691007*C_in/(exp(0.0723517*Distance/(Area + sqrt(Distance*V_in))) + 0.85604364/C_in))
13,20,0.6869106,(C_in / (exp((Distance / (sqrt(Distance * V_in) + Area)) * 0.075699486) + sqrt(0.34929198 / C_in))) * 1.4668243,0.036519252532956396,1.4668243*C_in/(0.591009289267098*sqrt(1/C_in) + exp(0.075699486*Distance/(Area + sqrt(Distance*V_in)))),PySRFunction(X=>1.4668243*C_in/(0.591009289267098*sqrt(1/C_in) + exp(0.075699486*Distance/(Area + sqrt(Distance*V_in)))))
14,22,0.67909455,(1.5407829 / (exp((Distance * 0.078773886) / (sqrt(V_in * Distance) + Area)) + sqrt(1.066813 / C_in))) * (C_in + 0.4531273),0.005721892995152915,1.5407829*(C_in + 0.4531273)/(1.03286639987948*sqrt(1/C_in) + exp(0.078773886*Distance/(Area + sqrt(Distance*V_in)))),PySRFunction(X=>1.5407829*(C_in + 0.4531273)/(1.03286639987948*sqrt(1/C_in) + exp(0.078773886*Distance/(Area + sqrt(Distance*V_in)))))
15,24,0.6630186,(C_in * (1.4604074 / exp((0.59012014 / sqrt(C_in)) + ((Distance * 0.06633905) / (sqrt((V_in + -0.15101749) * Distance) + Area))))) - -0.25802505,0.01197866133445622,1.4604074*C_in*exp(-0.06633905*Distance/(Area + sqrt(Distance*(V_in - 0.15101749))) - 0.59012014/sqrt(C_in)) + 0.25802505,PySRFunction(X=>1.4604074*C_in*exp(-0.06633905*Distance/(Area + sqrt(Distance*(V_in - 0.15101749))) - 0.59012014/sqrt(C_in)) + 0.25802505)
