,complexity,loss,equation,score,sympy_format,lambda_format
0,1,218.5226,7.715863,0.0,7.71586300000000,PySRFunction(X=>7.71586300000000)
1,3,165.07124,C_in * 0.696742,0.1402561516926482,C_in*0.696742,PySRFunction(X=>C_in*0.696742)
2,5,164.70528,(C_in * 0.659522) + 0.82912827,0.0011097216691606745,C_in*0.659522 + 0.82912827,PySRFunction(X=>C_in*0.659522 + 0.82912827)
3,6,164.38525,(sqrt(C_in) + C_in) * 0.5832014,0.0019449365551996566,0.5832014*sqrt(C_in) + 0.5832014*C_in,PySRFunction(X=>0.5832014*sqrt(C_in) + 0.5832014*C_in)
4,7,153.47043,(1.0865082 - (Distance * 0.0007101384)) * C_in,0.0687048483687321,C_in*(1.0865082 - 0.0007101384*Distance),PySRFunction(X=>C_in*(1.0865082 - 0.0007101384*Distance))
5,8,152.97469,C_in * (1.3582927 - (sqrt(Distance) * 0.029867623)),0.0032354271619661292,C_in*(1.3582927 - 0.029867623*sqrt(Distance)),PySRFunction(X=>C_in*(1.3582927 - 0.029867623*sqrt(Distance)))
6,9,152.67128,((1536.278 - (Distance + C_in)) * 0.0007336439) * C_in,0.0019853695415150904,(1536.278 - (C_in + Distance))*0.0007336439*C_in,PySRFunction(X=>(1536.278 - (C_in + Distance))*0.0007336439*C_in)
7,11,150.7823,((Distance + (C_in / 0.15243234)) - 1795.9985) * (C_in * -0.0006987281),0.006225019325219347,(C_in/0.15243234 + Distance - 1*1795.9985)*C_in*(-0.0006987281),PySRFunction(X=>(C_in/0.15243234 + Distance - 1*1795.9985)*C_in*(-0.0006987281))
8,12,149.9533,(((1710.0007 - Distance) * 0.0007503066) - (sqrt(C_in) / Area)) * C_in,0.0055131623910440325,C_in*(-0.0007503066*Distance + 1.28302481121462 - sqrt(C_in)/Area),PySRFunction(X=>C_in*(-0.0007503066*Distance + 1.28302481121462 - sqrt(C_in)/Area))
9,13,148.66862,((1583.1654 - Distance) - square(exp(C_in / Area))) * (C_in * 0.00073003175),0.0086041100095477,(-Distance - exp(2*C_in/Area) + 1583.1654)*C_in*0.00073003175,PySRFunction(X=>(-Distance - exp(2*C_in/Area) + 1583.1654)*C_in*0.00073003175)
10,14,147.55856,(1546.2 - Distance) * ((C_in - exp(1.2784982 / (Area / C_in))) * 0.00087089784),0.007494688340439772,(1546.2 - Distance)*(C_in - exp(1.2784982/((Area/C_in))))*0.00087089784,PySRFunction(X=>(1546.2 - Distance)*(C_in - exp(1.2784982/((Area/C_in))))*0.00087089784)
11,16,147.13177,((C_in - exp((C_in / Area) - -0.8841245)) * ((1546.2002 - Distance) * 0.00094914227)) + V_in,0.0014482670618818749,V_in + (C_in - exp(-1*(-0.8841245) + C_in/Area))*(1546.2002 - Distance)*0.00094914227,PySRFunction(X=>V_in + (C_in - exp(-1*(-0.8841245) + C_in/Area))*(1546.2002 - Distance)*0.00094914227)
12,18,147.03018,(V_in + ((C_in - exp((C_in / Area) - -0.93331325)) * ((1401.2721 - Distance) * 0.0010821569))) - -0.50347203,0.0003453539930601187,V_in + (C_in - exp(-1*(-0.93331325) + C_in/Area))*(1401.2721 - Distance)*0.0010821569 - 1*(-0.50347203),PySRFunction(X=>V_in + (C_in - exp(-1*(-0.93331325) + C_in/Area))*(1401.2721 - Distance)*0.0010821569 - 1*(-0.50347203))
13,20,146.99672,(V_in + (((1401.2516 - Distance) * (C_in - (exp((C_in / Area) - -0.9212228) - -0.55324364))) * 0.0010850864)) - -0.95856106,0.00011379911206908044,V_in + (1401.2516 - Distance)*(C_in - (exp(-1*(-0.9212228) + C_in/Area) - 1*(-0.55324364)))*0.0010850864 - 1*(-0.95856106),PySRFunction(X=>V_in + (1401.2516 - Distance)*(C_in - (exp(-1*(-0.9212228) + C_in/Area) - 1*(-0.55324364)))*0.0010850864 - 1*(-0.95856106))
14,21,146.72563,1.9879756 - (((1401.2942 - Distance) * -0.001169197) * (C_in - (exp((C_in / Area) - -0.9246338) + log(C_in / 2.640514)))),0.0018458934226439484,-(0.001169197*Distance - 1.6383889747574)*(C_in - 2.52094492127491*exp(C_in/Area) - log(0.378714144291604*C_in)) + 1.9879756,PySRFunction(X=>-(0.001169197*Distance - 1.6383889747574)*(C_in - 2.52094492127491*exp(C_in/Area) - log(0.378714144291604*C_in)) + 1.9879756)
15,23,146.58932,V_in - ((((1401.293 - Distance) * -0.0012099554) * (C_in - (exp((C_in / Area) - -0.9336179) + log(C_in / 2.2780304)))) + -0.86748254),0.0004647223396312455,V_in - (0.0012099554*Distance - 1.6955020323322)*(C_in - 2.54369538574274*exp(C_in/Area) - log(0.438975704626242*C_in)) + 0.86748254,PySRFunction(X=>V_in - (0.0012099554*Distance - 1.6955020323322)*(C_in - 2.54369538574274*exp(C_in/Area) - log(0.438975704626242*C_in)) + 0.86748254)
16,25,146.58041,(((1448.6833 - Distance) * ((C_in + -0.06436567) - (log(C_in / 2.8794544) + exp((C_in / Area) - -0.9268655)))) * 0.0011536032) + (V_in - -0.63180923),3.039195077450233e-05,V_in + 0.0011536032*(1448.6833 - Distance)*(C_in - 2.5265771964924*exp(C_in/Area) - log(0.347288014007098*C_in) - 0.06436567) + 0.63180923,PySRFunction(X=>V_in + 0.0011536032*(1448.6833 - Distance)*(C_in - 2.5265771964924*exp(C_in/Area) - log(0.347288014007098*C_in) - 0.06436567) + 0.63180923)
