,complexity,loss,equation,score,sympy_format,lambda_format
0,1,34.156685,5.632571,0.0,5.63257100000000,PySRFunction(X=>5.63257100000000)
1,2,29.279396,sqrt(C_in),0.15407426042079256,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,8.198164,C_in * 0.49780357,1.2729738337037517,C_in*0.49780357,PySRFunction(X=>C_in*0.49780357)
3,5,7.8427563,(C_in + 1.77383) / 2.1686018,0.022159942653639596,(C_in + 1.77383)/2.1686018,PySRFunction(X=>(C_in + 1.77383)/2.1686018)
4,6,1.6426764,C_in / exp(Distance / 712.85486),1.563263478583781,C_in/exp(Distance/712.85486),PySRFunction(X=>C_in/exp(Distance/712.85486))
5,7,1.218585,C_in / ((Distance * 0.0021403471) + 1.0448569),0.2986365133210186,C_in/(Distance*0.0021403471 + 1.0448569),PySRFunction(X=>C_in/(Distance*0.0021403471 + 1.0448569))
6,8,1.1601042,C_in / exp((Distance / Area) * 0.049578317),0.04918052087898693,C_in/exp(Distance*0.049578317/Area),PySRFunction(X=>C_in/exp(Distance*0.049578317/Area))
7,9,0.61949277,C_in / ((Distance / (Area * 13.229757)) + 1.0443516),0.6273640773534462,C_in/(Distance/((Area*13.229757)) + 1.0443516),PySRFunction(X=>C_in/(Distance/((Area*13.229757)) + 1.0443516))
8,11,0.5316277,(C_in / ((Distance / (Area * 12.475675)) + 1.0666745)) + 0.40731353,0.07647879898504278,C_in/(Distance/((Area*12.475675)) + 1.0666745) + 0.40731353,PySRFunction(X=>C_in/(Distance/((Area*12.475675)) + 1.0666745) + 0.40731353)
9,12,0.51725364,C_in / exp(((C_in + Distance) * 0.08895625) / (Area + 31.835321)),0.027410078511891603,C_in/exp((C_in + Distance)*0.08895625/(Area + 31.835321)),PySRFunction(X=>C_in/exp((C_in + Distance)*0.08895625/(Area + 31.835321)))
10,13,0.2863688,C_in / exp((Distance / (Area + sqrt(Distance * V_in))) * 0.07420055),0.5912528632121677,C_in*exp(-0.07420055*Distance/(Area + sqrt(Distance*V_in))),PySRFunction(X=>C_in*exp(-0.07420055*Distance/(Area + sqrt(Distance*V_in))))
11,14,0.21234123,C_in / exp((Distance * (0.055153497 / (Area + (V_in * 22.385328)))) + 0.12027751),0.2990859344393412,C_in/exp(Distance*0.055153497/(Area + V_in*22.385328) + 0.12027751),PySRFunction(X=>C_in/exp(Distance*0.055153497/(Area + V_in*22.385328) + 0.12027751))
12,15,0.17142384,C_in / exp((Area + Distance) * (0.069359936 / (sqrt(Distance * V_in) + Area))),0.2140554698255374,C_in*exp(-0.069359936*(Area + Distance)/(Area + sqrt(Distance*V_in))),PySRFunction(X=>C_in*exp(-0.069359936*(Area + Distance)/(Area + sqrt(Distance*V_in))))
13,17,0.15071832,C_in / (exp((Distance / (sqrt(Distance * (V_in + -0.17649277)) + Area)) * 0.06373042) + 0.090373315),0.06436321103538822,C_in/(exp(0.06373042*Distance/(Area + sqrt(Distance*(V_in - 0.17649277)))) + 0.090373315),PySRFunction(X=>C_in/(exp(0.06373042*Distance/(Area + sqrt(Distance*(V_in - 0.17649277)))) + 0.090373315))
14,19,0.1406817,C_in / exp((0.0660802 * (Distance / ((sqrt((V_in + -0.19322713) * Distance) + Area) + 4.820691))) + 0.081236795),0.034456386286853755,0.921975346441965*C_in*exp(-0.0660802*Distance/(Area + sqrt(Distance*(V_in - 0.19322713)) + 4.820691)),PySRFunction(X=>0.921975346441965*C_in*exp(-0.0660802*Distance/(Area + sqrt(Distance*(V_in - 0.19322713)) + 4.820691)))
15,21,0.13549504,(C_in / (exp((Distance * 0.0720268) / ((Area + sqrt((V_in + -0.1889089) * Distance)) + 5.8802667)) + 0.09860151)) + 0.10721567,0.018782428605844368,C_in/(exp(0.0720268*Distance/(Area + sqrt(Distance*(V_in - 0.1889089)) + 5.8802667)) + 0.09860151) + 0.10721567,PySRFunction(X=>C_in/(exp(0.0720268*Distance/(Area + sqrt(Distance*(V_in - 0.1889089)) + 5.8802667)) + 0.09860151) + 0.10721567)
16,23,0.13450207,(C_in / (exp((Distance / (Area + (sqrt((V_in + -0.18603435) * (Distance + C_in)) + 5.1420813))) * 0.07144975) + 0.10102118)) + 0.116663784,0.0036777226128411446,C_in/(exp(0.07144975*Distance/(Area + sqrt((C_in + Distance)*(V_in - 0.18603435)) + 5.1420813)) + 0.10102118) + 0.116663784,PySRFunction(X=>C_in/(exp(0.07144975*Distance/(Area + sqrt((C_in + Distance)*(V_in - 0.18603435)) + 5.1420813)) + 0.10102118) + 0.116663784)
17,25,0.13361903,(C_in / (exp((Distance * 0.07172775) / (Area + (5.1401644 + sqrt((Distance + (C_in + C_in)) * (V_in + -0.18898326))))) + 0.10233992)) + 0.1238458,0.003293449089680541,C_in/(exp(0.07172775*Distance/(Area + sqrt((2*C_in + Distance)*(V_in - 0.18898326)) + 5.1401644)) + 0.10233992) + 0.1238458,PySRFunction(X=>C_in/(exp(0.07172775*Distance/(Area + sqrt((2*C_in + Distance)*(V_in - 0.18898326)) + 5.1401644)) + 0.10233992) + 0.1238458)
