,complexity,loss,equation,score,sympy_format,lambda_format
0,1,37.427906,5.7746043,0.0,5.77460430000000,PySRFunction(X=>5.77460430000000)
1,2,32.80579,sqrt(C_in),0.13181155172004255,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,9.343125,C_in / 1.9465314,1.2559642454801034,C_in/1.9465314,PySRFunction(X=>C_in/1.9465314)
3,5,9.025975,(C_in * 0.4790768) - -0.77286,0.01726712354843505,C_in*0.4790768 - 1*(-0.77286),PySRFunction(X=>C_in*0.4790768 - 1*(-0.77286))
4,6,1.3085482,C_in * exp(Distance * -0.001348726),1.9311882532433018,C_in*exp(Distance*(-0.001348726)),PySRFunction(X=>C_in*exp(Distance*(-0.001348726)))
5,8,0.93157285,exp((C_in + Distance) * -0.0012701466) * C_in,0.1698995815936435,C_in*exp((C_in + Distance)*(-0.0012701466)),PySRFunction(X=>C_in*exp((C_in + Distance)*(-0.0012701466)))
6,10,0.8049709,(C_in * exp(-0.0013635814 * (C_in + Distance))) - -0.5219222,0.07303413323973644,C_in*exp(-0.0013635814*(C_in + Distance)) - 1*(-0.5219222),PySRFunction(X=>C_in*exp(-0.0013635814*(C_in + Distance)) - 1*(-0.5219222))
7,12,0.59183425,(((Area * 0.0042122435) + 0.9044207) + (sqrt(Distance) * -0.024675058)) * C_in,0.15378975756176877,C_in*(0.0042122435*Area - 0.024675058*sqrt(Distance) + 0.9044207),PySRFunction(X=>C_in*(0.0042122435*Area - 0.024675058*sqrt(Distance) + 0.9044207))
8,14,0.46681982,(C_in * (((Area * 0.0036703772) + 0.9010244) + (sqrt(Distance) * -0.024633886))) + 0.5024484,0.11864162688246775,C_in*(0.0036703772*Area - 0.024633886*sqrt(Distance) + 0.9010244) + 0.5024484,PySRFunction(X=>C_in*(0.0036703772*Area - 0.024633886*sqrt(Distance) + 0.9010244) + 0.5024484)
9,16,0.4028722,(C_in * ((sqrt(Distance + C_in) * -0.026182918) + ((Area * 0.0034724027) + 0.97613496))) + 0.32166234,0.07366198437173216,C_in*(0.0034724027*Area - 0.026182918*sqrt(C_in + Distance) + 0.97613496) + 0.32166234,PySRFunction(X=>C_in*(0.0034724027*Area - 0.026182918*sqrt(C_in + Distance) + 0.97613496) + 0.32166234)
10,18,0.3651978,((C_in + -1.2226653) * (((sqrt(Distance + C_in) * -0.027845714) + (Area * 0.003708808)) + 1.0045567)) + 0.9888576,0.04909013272931344,(C_in - 1.2226653)*(0.003708808*Area - 0.027845714*sqrt(C_in + Distance) + 1.0045567) + 0.9888576,PySRFunction(X=>(C_in - 1.2226653)*(0.003708808*Area - 0.027845714*sqrt(C_in + Distance) + 1.0045567) + 0.9888576)
11,19,0.33856115,(((((Distance + C_in) - (Area / 0.31038746)) + ((Distance * -0.00041499166) * Distance)) * -0.0011017608) + 0.8457631) * C_in,0.07573439864304159,C_in*(0.8457631 + (-Area/0.31038746 + C_in + Distance*(-0.00041499166)*Distance + Distance)*(-0.0011017608)),PySRFunction(X=>C_in*(0.8457631 + (-Area/0.31038746 + C_in + Distance*(-0.00041499166)*Distance + Distance)*(-0.0011017608)))
