Case,C_in,V_in,Area
dp0,3.243667888630503e-06,0.4468200376168926,45.09547736021639
dp1,1.957847492327699e-07,1.8664609615476047,62.29146755823474
dp2,1.665882309451132e-07,1.017970168501003,63.44006700097368
dp3,5.148324025179715e-07,1.9734651271127628,52.93556881842385
dp4,8.256297310045915e-07,0.913438058192225,25.50315558937304
dp5,1.618683026889106e-06,0.522003494766743,39.41372827026927
dp6,1.45358834400234e-06,1.0725260081631607,37.74309859292844
dp7,3.662466317263517e-06,0.5745054871121784,30.80231006140091
dp8,6.957707587398971e-07,1.5996993006517328,32.15409474262812
dp9,1.32989796906412e-06,0.37944455782855685,26.78235604651307
dp10,4.465869861323203e-07,1.7085169649632368,56.26965822297601
dp11,5.354229506042021e-06,0.2595095990794071,35.30022825757737
dp12,5.162551075562974e-06,0.27028746226558664,40.26618249389246
dp13,2.185080937609345e-07,1.0120262530920596,32.52422220732633
dp14,5.782758724200844e-07,1.8440754800910246,62.51765205634041
dp15,9.087069765111107e-07,0.7350050778354915,55.27142192595399
dp16,1.765927987602728e-06,0.6674968910590064,23.77410567770847
dp17,4.072906695887665e-07,0.32676707224099233,36.58269961773644
dp18,5.437173568051753e-07,1.201589375488321,59.9367883797479
dp19,1.54719394327976e-06,0.9230967308067406,43.08558042400345
dp20,4.048029079932269e-07,0.7959040536578847,31.75599997661893
dp21,6.723575729703286e-07,1.9113150140479978,45.30539800463758
dp22,2.089809242425164e-07,1.3545057796469746,53.71069517786479
dp23,2.158330561370853e-07,0.9624274951778498,36.02574818825635
dp24,3.113376906504815e-06,0.6239578178508849,27.26361580174438
dp25,3.709683235352975e-07,1.3113430624720397,45.56936450046745
dp26,5.238311912634659e-07,0.8379779664472169,46.76436820486415
dp27,1.86255928951153e-06,0.6254695266152023,38.89258578693526
dp28,4.140644385514826e-07,1.2616758277012077,40.48301762026742
dp29,1.623366827692065e-06,0.9014194215954792,42.07613512682506
dp30,8.370216643403094e-07,1.93989324664972,35.36087750515689
dp31,1.238983680383544e-06,1.0269145564790676,45.93854436164135
dp32,1.600509055064318e-07,1.502884460290462,59.86854013254488
dp33,4.964519101040575e-07,1.9283291095134525,52.65916496163646
dp34,6.13684391821958e-07,1.550110965041548,61.68097327473171
dp35,6.094398865484863e-07,0.9255822985922824,35.04918304527032
dp36,3.837915287545482e-07,1.388350631372442,46.59883316178232
dp37,1.803731198485674e-06,1.4120985561530577,26.50101267320834
dp38,3.524023922187004e-07,1.0393161885772675,61.26390023298472
dp39,3.866357494998842e-06,0.37124446505680964,33.33168807692339
dp40,2.050871658633566e-06,0.7484605522344028,35.79970681850165
dp41,1.327866828155906e-06,0.9306501889740972,30.14438465999416
dp42,5.119834157865393e-07,1.5350797129200822,39.58177828943094
dp43,1.033726854408007e-06,1.5745858653132672,24.8349336442732
dp44,1.018375592312604e-06,1.4587512687036746,30.9794555610886
dp45,8.035272448955718e-07,1.7661491868323307,29.61431730782033
dp46,3.62410535958826e-07,1.8773021720002792,62.65984369631568
dp47,1.726507917054865e-07,1.8454238247620902,36.75633167877641
dp48,1.083024799255411e-06,0.5122388876128692,50.2801200072044
dp49,8.729444140672025e-07,0.979619918742902,53.41649184009373
dp50,6.213396362208892e-07,1.5215738212213767,61.43333498055498
dp51,1.483510191035463e-06,0.49480912733191246,53.746017799054
dp52,5.980911661391899e-07,1.684426078515109,64.01558068091937
dp53,6.990906181388863e-07,1.7656121325945586,39.08443539743522
dp54,2.002980429833984e-06,0.2898653147977658,49.21270567007767
dp55,4.537999420855245e-07,1.2842127569247233,52.3561737643373
dp56,3.833941605585262e-06,0.39456956217774897,25.94073336587329
dp57,1.876908124682094e-06,0.36467852567395664,65.06973197516969
dp58,1.716946872434994e-06,1.0458383217701877,30.22505474793724
dp59,2.194668522735963e-07,0.9815899618414823,65.30528409412304
dp60,5.408720660759026e-07,1.2263835920970878,66.41209159477275
dp61,1.079391828967094e-06,1.4428207552444003,32.9322857983129
dp62,6.960365090356321e-07,0.9772599199949785,34.04133343209213
dp63,6.132036683931269e-07,1.4026274726580785,55.07672624390105
dp64,6.176711886990929e-07,1.3238079943803505,41.93054805713086
dp65,6.275972709462804e-07,1.951042221950525,41.34062406318577
dp66,1.83916564877317e-06,0.9080828347775598,40.30506089646745
dp67,1.110807365892716e-06,1.9009973317296716,28.95625658001244
dp68,2.079678423234834e-06,0.8507732382920041,27.69722803670931
dp69,4.027040256757239e-06,0.2643614029833373,44.94568505449182
dp70,1.275985292956892e-06,1.195107980206805,39.91734808495945
dp71,7.671833464758162e-07,1.345824534333383,31.50927688412465
dp72,1.31282928506831e-06,0.5523544863068588,24.48538732858696
dp73,9.820844917719488e-07,0.23851658470958864,64.36179899211932
dp74,2.572721467509024e-07,0.8337597562746311,30.38903118919831
dp75,2.628892075219863e-07,1.9819105058310094,50.0678125807662
dp76,3.889764405016469e-06,0.4372187693464973,32.25801139230303
dp77,1.619290892502207e-06,1.2909215651162844,28.25278232907019
dp78,5.95049459224218e-07,0.9531043007037934,61.08521442243773
dp79,8.2363152016285e-07,1.182735787577683,66.5652905889059
dp80,7.810066882569675e-07,1.6227314584820294,53.10144425683247
dp81,1.581925660104388e-06,1.34261834304548,23.86585476143287
dp82,1.784878430221947e-06,0.28131474235061477,62.98931424616577
dp83,5.186367224679857e-07,1.954453048307912,55.51323666778423
