,complexity,loss,equation,score,sympy_format,lambda_format
0,1,34.65735,5.7181687,0.0,5.71816870000000,PySRFunction(X=>5.71816870000000)
1,2,30.062107,sqrt(C_in),0.14224434933805225,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,8.34075,C_in / 1.9859684,1.2821123346305339,C_in/1.9859684,PySRFunction(X=>C_in/1.9859684)
3,5,7.822967,exp(log(C_in) * 0.7966837),0.03204462301072064,C_in**0.7966837,PySRFunction(X=>C_in**0.7966837)
4,6,7.605814,inv((1.6286957 / C_in) + 0.010162953),0.028150939534550577,1/(0.010162953 + 1.6286957/C_in),PySRFunction(X=>1/(0.010162953 + 1.6286957/C_in))
5,7,1.4503808,C_in * (480.81314 / (Distance + 502.9078)),1.6570868121855709,C_in*480.81314/(Distance + 502.9078),PySRFunction(X=>C_in*480.81314/(Distance + 502.9078))
6,9,0.70961404,(C_in * 13.501415) / ((Distance / Area) + 14.026118),0.3574301025155255,C_in*13.501415/(14.026118 + Distance/Area),PySRFunction(X=>C_in*13.501415/(14.026118 + Distance/Area))
7,11,0.5434234,(C_in / ((Distance / Area) + 13.958643)) * (V_in + 12.915759),0.13341622916419651,C_in*(V_in + 12.915759)/(13.958643 + Distance/Area),PySRFunction(X=>C_in*(V_in + 12.915759)/(13.958643 + Distance/Area))
8,12,0.46764356,(log(V_in) + 14.309681) * (C_in / ((Distance / Area) + 14.028555)),0.1501823764628876,C_in*(log(V_in) + 14.309681)/(14.028555 + Distance/Area),PySRFunction(X=>C_in*(log(V_in) + 14.309681)/(14.028555 + Distance/Area))
9,14,0.3647103,C_in * (82.85191 / ((((inv(V_in) + 3.70538) * Distance) / Area) + 85.57179)),0.1243015209981674,C_in*82.85191/(85.57179 + Distance*(3.70538 + 1/V_in)/Area),PySRFunction(X=>C_in*82.85191/(85.57179 + Distance*(3.70538 + 1/V_in)/Area))
10,15,0.35294262,(C_in * 32.220478) / (((Distance * (sqrt(inv(V_in)) + 0.854913)) / Area) + 33.46629),0.032797845661220106,32.220478*C_in/(33.46629 + Distance*(sqrt(1/V_in) + 0.854913)/Area),PySRFunction(X=>32.220478*C_in/(33.46629 + Distance*(sqrt(1/V_in) + 0.854913)/Area))
11,17,0.2752447,((41.933094 / (((Distance / Area) * sqrt(inv(V_in) + 1.2060807)) + 38.6397)) + -0.15227929) * C_in,0.12432248697536587,C_in*(-0.15227929 + 41.933094/(38.6397 + Distance*sqrt(1.2060807 + 1/V_in)/Area)),PySRFunction(X=>C_in*(-0.15227929 + 41.933094/(38.6397 + Distance*sqrt(1.2060807 + 1/V_in)/Area)))
12,18,0.2734025,C_in * ((16.666756 / ((Distance * ((0.089754246 * (inv(V_in) + 4.9093685)) / Area)) + 14.870464)) + -0.19529347),0.0067154518356457825,C_in*(-0.19529347 + 16.666756/(14.870464 + Distance*0.089754246*(4.9093685 + 1/V_in)/Area)),PySRFunction(X=>C_in*(-0.19529347 + 16.666756/(14.870464 + Distance*0.089754246*(4.9093685 + 1/V_in)/Area)))
13,20,0.25891632,((23.075218 / (((Distance * 0.1183822) * ((inv(V_in) + 4.8433394) / (Area + 2.347194))) + 19.80237)) + -0.24355012) * C_in,0.027220073833608804,C_in*(-0.24355012 + 23.075218/(Distance*0.1183822*(4.8433394 + 1/V_in)/(Area + 2.347194) + 19.80237)),PySRFunction(X=>C_in*(-0.24355012 + 23.075218/(Distance*0.1183822*(4.8433394 + 1/V_in)/(Area + 2.347194) + 19.80237)))
14,21,0.24648677,((19.802452 / (16.947147 + (((Distance * 0.09081011) / Area) * ((inv(V_in) + log(Area)) - -1.6456826)))) + -0.24404144) * C_in,0.0491966000492274,C_in*(-0.24404144 + 19.802452/(16.947147 + 0.09081011*Distance*(log(Area) + 1.6456826 + 1/V_in)/Area)),PySRFunction(X=>C_in*(-0.24404144 + 19.802452/(16.947147 + 0.09081011*Distance*(log(Area) + 1.6456826 + 1/V_in)/Area)))
15,23,0.24314976,C_in * ((19.802452 / (((((((log(Area) + inv(V_in)) - -1.6456826) * Distance) + C_in) * 0.09081011) / Area) + 16.947147)) + -0.24404144),0.0068153854192578266,C_in*(-0.24404144 + 19.802452/(16.947147 + (0.09081011*C_in + 0.09081011*Distance*(log(Area) + 1.6456826 + 1/V_in))/Area)),PySRFunction(X=>C_in*(-0.24404144 + 19.802452/(16.947147 + (0.09081011*C_in + 0.09081011*Distance*(log(Area) + 1.6456826 + 1/V_in))/Area)))
16,25,0.24056746,((19.802452 / ((((((log(Area) + (inv(V_in) - -1.6456826)) * Distance) + C_in) * 0.09081011) / Area) + 16.947147)) + -0.24404144) * (C_in + 0.085356236),0.005338500315218638,(-0.24404144 + 19.802452/(16.947147 + (0.09081011*C_in + 0.09081011*Distance*(log(Area) + 1.6456826 + 1/V_in))/Area))*(C_in + 0.085356236),PySRFunction(X=>(-0.24404144 + 19.802452/(16.947147 + (0.09081011*C_in + 0.09081011*Distance*(log(Area) + 1.6456826 + 1/V_in))/Area))*(C_in + 0.085356236))
