,Loss
0,38.486761734498245
1,31.677816972789394
2,31.30918860542953
3,31.31486394850422
4,31.216626194668716
5,31.182118614946003
6,31.12813885591749
7,30.896012055318213
8,30.986995935544893
9,31.090374732692073
10,30.875989776972016
11,31.129585193909964
12,30.83460200013262
13,30.91398192115954
14,30.953762447755278
15,30.784029650201038
16,30.810775079264868
17,30.79844861344293
18,30.991038247070144
19,30.730476436702254
20,30.861392638838677
21,30.733506184862566
22,30.882624302276554
23,30.780768370321475
24,30.899388286056414
25,30.764456432199385
26,30.610428792956224
27,30.750571979403603
28,30.72403718083693
29,30.77183747826428
30,30.78147751137088
31,30.695520772950086
32,30.684417158912016
33,30.50168010886871
34,30.774764516783478
35,30.668050645098923
36,30.896794017471464
37,30.697375648468014
38,30.769596645446814
39,30.634906588361442
40,30.67448632947252
41,30.51928620617959
42,30.572538174252507
43,30.755287546862014
44,30.504844125347695
