,complexity,loss,equation,score,sympy_format,lambda_format
0,1,34.121944,5.693008,0.0,5.69300800000000,PySRFunction(X=>5.69300800000000)
1,2,29.522612,sqrt(C_in),0.14478421817869094,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,8.226025,C_in * 0.5004615,1.277853569254969,C_in*0.5004615,PySRFunction(X=>C_in*0.5004615)
3,5,7.81605,(C_in * 0.4610803) + 0.87817943,0.0255617985468436,C_in*0.4610803 + 0.87817943,PySRFunction(X=>C_in*0.4610803 + 0.87817943)
4,6,1.8219844,exp(Distance / -720.00726) * C_in,1.45625307507275,C_in*exp(Distance/(-720.00726)),PySRFunction(X=>C_in*exp(Distance/(-720.00726)))
5,7,1.6699473,C_in * ((Distance * -0.0005338555) + 0.79350835),0.08713416773684665,C_in*(0.79350835 + Distance*(-0.0005338555)),PySRFunction(X=>C_in*(0.79350835 + Distance*(-0.0005338555)))
6,8,1.2178434,C_in * exp(Distance / (Area * -20.346731)),0.31571047945138797,C_in*exp(Distance/((Area*(-20.346731)))),PySRFunction(X=>C_in*exp(Distance/((Area*(-20.346731)))))
7,10,0.74416006,exp(Distance / (Area * -25.17391)) * (C_in * 0.87387663),0.2462903612358253,exp(Distance/((Area*(-25.17391))))*C_in*0.87387663,PySRFunction(X=>exp(Distance/((Area*(-25.17391))))*C_in*0.87387663)
8,12,0.6019905,(exp((Distance / (Area * -24.242271)) + -0.16398685) * C_in) - -0.5200059,0.10600724082509931,C_in*exp(Distance/((Area*(-24.242271))) - 0.16398685) - 1*(-0.5200059),PySRFunction(X=>C_in*exp(Distance/((Area*(-24.242271))) - 0.16398685) - 1*(-0.5200059))
9,13,0.4930627,(exp(Distance / ((sqrt(V_in) * Area) * -39.6053)) * C_in) * 0.85889596,0.1996053179700911,0.85889596*C_in*exp(-0.0252491459476383*Distance/(Area*sqrt(V_in))),PySRFunction(X=>0.85889596*C_in*exp(-0.0252491459476383*Distance/(Area*sqrt(V_in))))
10,14,0.25550753,(C_in * 0.88759553) * exp((Distance / ((V_in / -0.0438114) - Area)) * 0.054954994),0.6573844656495704,C_in*0.88759553*exp(Distance*0.054954994/(-Area + V_in/(-0.0438114))),PySRFunction(X=>C_in*0.88759553*exp(Distance*0.054954994/(-Area + V_in/(-0.0438114))))
11,16,0.25097457,((exp((Distance / ((V_in / -0.04625396) - Area)) * 0.05456801) * C_in) - -0.11408126) * 0.8827527,0.008950130787841182,(C_in*exp(Distance*0.05456801/(-Area + V_in/(-0.04625396))) - 1*(-0.11408126))*0.8827527,PySRFunction(X=>(C_in*exp(Distance*0.05456801/(-Area + V_in/(-0.04625396))) - 1*(-0.11408126))*0.8827527)
12,17,0.19402544,(exp((Distance + C_in) * (0.06538745 / ((sqrt(V_in) / -0.033024706) - Area))) * C_in) / 1.0806235,0.2573623347714305,0.925391683597479*C_in*exp(0.06538745*(C_in + Distance)/(-Area - 30.2803604065393*sqrt(V_in))),PySRFunction(X=>0.925391683597479*C_in*exp(0.06538745*(C_in + Distance)/(-Area - 30.2803604065393*sqrt(V_in))))
13,19,0.18834017,(C_in * exp(((C_in + Distance) - Area) * (0.06779303 / ((sqrt(V_in) / -0.029973978) - Area)))) / 1.1276541,0.014869770891103353,0.886796757977468*C_in*exp(0.06779303*(-Area + C_in + Distance)/(-Area - 33.3622717678648*sqrt(V_in))),PySRFunction(X=>0.886796757977468*C_in*exp(0.06779303*(-Area + C_in + Distance)/(-Area - 33.3622717678648*sqrt(V_in))))
14,21,0.18707734,((C_in * exp((0.06689897 * ((Distance + C_in) - Area)) / ((sqrt(V_in) / -0.031073445) - Area))) / 1.1314698) - -0.040960442,0.003363814231983606,0.88380617847688*C_in*exp((-0.06689897*Area + 0.06689897*C_in + 0.06689897*Distance)/(-Area - 32.1818195568596*sqrt(V_in))) + 0.040960442,PySRFunction(X=>0.88380617847688*C_in*exp((-0.06689897*Area + 0.06689897*C_in + 0.06689897*Distance)/(-Area - 32.1818195568596*sqrt(V_in))) + 0.040960442)
15,22,0.18631291,(C_in * exp(((sqrt(Distance) + ((Distance + C_in) - Area)) / ((sqrt(V_in) / -0.030975332) - Area)) * 0.06529324)) / 1.1152265,0.004094542200765557,0.896678836092937*C_in*exp(0.06529324*(-Area + C_in + sqrt(Distance) + Distance)/(-Area - 32.2837540530639*sqrt(V_in))),PySRFunction(X=>0.896678836092937*C_in*exp(0.06529324*(-Area + C_in + sqrt(Distance) + Distance)/(-Area - 32.2837540530639*sqrt(V_in))))
16,24,0.18585436,((C_in * exp((0.06570468 / ((sqrt(V_in) / -0.030340811) - Area)) * ((sqrt(Distance) + (Distance + C_in)) - Area))) / 1.3455544) / 0.83055913,0.0012321078961081307,0.894804547673224*C_in*exp(0.06570468*(-Area + C_in + sqrt(Distance) + Distance)/(-Area - 32.9589080529192*sqrt(V_in))),PySRFunction(X=>0.894804547673224*C_in*exp(0.06570468*(-Area + C_in + sqrt(Distance) + Distance)/(-Area - 32.9589080529192*sqrt(V_in))))
