,complexity,loss,equation,score,sympy_format,lambda_format
0,1,30.958063,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,26.459713,C_in * 0.8610084,0.07850508504882912,C_in*0.8610084,PySRFunction(X=>C_in*0.8610084)
2,5,25.627779,(Distance * -0.0036483426) + C_in,0.015973215854111288,C_in + Distance*(-0.0036483426),PySRFunction(X=>C_in + Distance*(-0.0036483426))
3,6,25.193916,(square(C_in) * -0.0035201106) + C_in,0.017074343561536247,C_in**2*(-0.0035201106) + C_in,PySRFunction(X=>C_in**2*(-0.0035201106) + C_in)
4,7,5.7651014,C_in * ((Distance * -0.00094850437) + 1.381603),1.474779794332515,C_in*(1.381603 + Distance*(-0.00094850437)),PySRFunction(X=>C_in*(1.381603 + Distance*(-0.00094850437)))
5,8,4.4909096,C_in * (1.752497 + (sqrt(Distance) * -0.040249225)),0.24976747770904134,C_in*(1.752497 - 0.040249225*sqrt(Distance)),PySRFunction(X=>C_in*(1.752497 - 0.040249225*sqrt(Distance)))
6,10,4.05665,(((sqrt(Distance) * -0.040196296) + 1.7107908) * C_in) + 0.90384954,0.05084887744818603,C_in*(1.7107908 - 0.040196296*sqrt(Distance)) + 0.90384954,PySRFunction(X=>C_in*(1.7107908 - 0.040196296*sqrt(Distance)) + 0.90384954)
7,12,3.9121282,(((sqrt(Distance) * -0.043372754) + 1.7807896) * (C_in + -1.54213)) + 2.1816745,0.018137993631345925,(1.7807896 - 0.043372754*sqrt(Distance))*(C_in - 1.54213) + 2.1816745,PySRFunction(X=>(1.7807896 - 0.043372754*sqrt(Distance))*(C_in - 1.54213) + 2.1816745)
8,13,3.3584094,(((sqrt(Distance) + sqrt(C_in)) * C_in) * -0.03998805) + (C_in * 1.979826),0.15261405356456356,-0.03998805*C_in*(sqrt(C_in) + sqrt(Distance)) + 1.979826*C_in,PySRFunction(X=>-0.03998805*C_in*(sqrt(C_in) + sqrt(Distance)) + 1.979826*C_in)
9,15,1.9401832,(C_in * 1.5640442) + (C_in / ((Area / ((Distance / -10.51317) + 3.1515806)) - 0.56507486)),0.2743425337128914,C_in*1.5640442 + C_in/(Area/(Distance/(-10.51317) + 3.1515806) - 1*0.56507486),PySRFunction(X=>C_in*1.5640442 + C_in/(Area/(Distance/(-10.51317) + 3.1515806) - 1*0.56507486))
