,complexity,loss,equation,score,sympy_format,lambda_format
0,1,321.47354,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,318.2448,C_in / 1.1335315,0.0050471703158983545,C_in/1.1335315,PySRFunction(X=>C_in/1.1335315)
2,5,317.66684,C_in - (Distance * 0.0030831702),0.0009088686584504183,C_in - 0.0030831702*Distance,PySRFunction(X=>C_in - 0.0030831702*Distance)
3,6,314.04895,C_in - exp(C_in / Area),0.011454295153126967,C_in - exp(C_in/Area),PySRFunction(X=>C_in - exp(C_in/Area))
4,7,299.04767,C_in / ((Distance * 0.0011911774) + 0.58744),0.048945873357174687,C_in/(Distance*0.0011911774 + 0.58744),PySRFunction(X=>C_in/(Distance*0.0011911774 + 0.58744))
5,9,295.22766,C_in * (24.338606 / ((Distance / Area) + 14.671601)),0.006428102298578843,C_in*24.338606/(14.671601 + Distance/Area),PySRFunction(X=>C_in*24.338606/(14.671601 + Distance/Area))
6,11,294.39096,C_in * (24.928255 / (((Distance + C_in) / Area) + 14.207617)),0.001419053831143786,C_in*24.928255/(14.207617 + (C_in + Distance)/Area),PySRFunction(X=>C_in*24.928255/(14.207617 + (C_in + Distance)/Area))
7,13,291.62732,(C_in * 36.295547) / ((Distance / (Area + (C_in * -0.23549084))) + 22.214243),0.004715997064687094,C_in*36.295547/(Distance/(Area + C_in*(-0.23549084)) + 22.214243),PySRFunction(X=>C_in*36.295547/(Distance/(Area + C_in*(-0.23549084)) + 22.214243))
8,15,290.92346,(C_in - 1.131736) * (49.914665 / ((Distance / (Area + (-5.5380974 / V_in))) + 28.809237)),0.0012082386062684215,(C_in - 1*1.131736)*49.914665/(Distance/(Area - 5.5380974/V_in) + 28.809237),PySRFunction(X=>(C_in - 1*1.131736)*49.914665/(Distance/(Area - 5.5380974/V_in) + 28.809237))
9,17,276.70584,(C_in / (((C_in / (44.238316 - (Distance / 1.2976398))) + (Distance / Area)) + 29.844877)) * 38.28302,0.025052608029302786,C_in*38.28302/(C_in/(44.238316 - Distance/1.2976398) + 29.844877 + Distance/Area),PySRFunction(X=>C_in*38.28302/(C_in/(44.238316 - Distance/1.2976398) + 29.844877 + Distance/Area))
10,19,276.0593,(C_in / (((Distance / (Area + -2.060042)) + 20.376383) + (C_in / (30.571705 - (Distance / 1.7991644))))) * 28.16057,0.001169647374721185,C_in*28.16057/(C_in/(30.571705 - Distance/1.7991644) + Distance/(Area - 2.060042) + 20.376383),PySRFunction(X=>C_in*28.16057/(C_in/(30.571705 - Distance/1.7991644) + Distance/(Area - 2.060042) + 20.376383))
11,21,274.60785,C_in * (37.851967 / (((C_in + C_in) / ((54.963776 - Distance) / 1.0721912)) + ((Distance / (Area + -10.760701)) + 25.08931))),0.0026358088753054626,C_in*37.851967/(Distance/(Area - 10.760701) + 25.08931 + (C_in + C_in)/(((54.963776 - Distance)/1.0721912))),PySRFunction(X=>C_in*37.851967/(Distance/(Area - 10.760701) + 25.08931 + (C_in + C_in)/(((54.963776 - Distance)/1.0721912))))
12,23,274.50256,((C_in * 37.851967) / (((C_in + C_in) / ((54.963776 - Distance) / 1.0721912)) + ((Distance / (Area + -10.760701)) + 25.08931))) - -0.32516548,0.0001917465037502208,C_in*37.851967/(Distance/(Area - 10.760701) + 25.08931 + (C_in + C_in)/(((54.963776 - Distance)/1.0721912))) - 1*(-0.32516548),PySRFunction(X=>C_in*37.851967/(Distance/(Area - 10.760701) + 25.08931 + (C_in + C_in)/(((54.963776 - Distance)/1.0721912))) - 1*(-0.32516548))
13,25,274.50226,inv(inv((C_in * (37.851685 / (((C_in + C_in) / ((54.950264 - Distance) / 1.0749944)) + ((Distance / (Area + -10.76067)) + 25.089579)))) - -0.32515338)),5.46443289956138e-07,C_in*37.851685/(Distance/(Area - 10.76067) + 25.089579 + (C_in + C_in)/(((54.950264 - Distance)/1.0749944))) - 1*(-0.32515338),PySRFunction(X=>C_in*37.851685/(Distance/(Area - 10.76067) + 25.089579 + (C_in + C_in)/(((54.950264 - Distance)/1.0749944))) - 1*(-0.32515338))
