,complexity,loss,equation,score,sympy_format,lambda_format
0,1,40.293594,5.509422,0.0,5.50942200000000,PySRFunction(X=>5.50942200000000)
1,2,34.700672,sqrt(C_in),0.14943344574159606,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,14.3101845,C_in / 2.0326264,0.8857875661925259,C_in/2.0326264,PySRFunction(X=>C_in/2.0326264)
3,5,14.0490265,(C_in * 0.4605455) - -0.70083785,0.009209190722010303,C_in*0.4605455 - 1*(-0.70083785),PySRFunction(X=>C_in*0.4605455 - 1*(-0.70083785))
4,6,13.811105,C_in / sqrt(151.54785 / Area),0.017080126420512945,0.0812316192213462*C_in/sqrt(1/Area),PySRFunction(X=>0.0812316192213462*C_in/sqrt(1/Area))
5,7,7.4642735,C_in * (456.79037 / (Distance + 479.90692)),0.61534487327784,C_in*456.79037/(Distance + 479.90692),PySRFunction(X=>C_in*456.79037/(Distance + 479.90692))
6,9,7.050108,C_in * ((476.61514 - C_in) / (Distance + 454.90186)),0.02854258478442768,C_in*(476.61514 - C_in)/(Distance + 454.90186),PySRFunction(X=>C_in*(476.61514 - C_in)/(Distance + 454.90186))
7,10,6.8780704,(C_in / ((Distance / sqrt(Area)) + 78.33072)) * 75.666664,0.02470478836449933,75.666664*C_in/(78.33072 + Distance/sqrt(Area)),PySRFunction(X=>75.666664*C_in/(78.33072 + Distance/sqrt(Area)))
8,11,6.762934,C_in * (120.990036 / (((Distance / Area) * 9.392482) + 126.61076)),0.0168813279287935,C_in*120.990036/(126.61076 + Distance*9.392482/Area),PySRFunction(X=>C_in*120.990036/(126.61076 + Distance*9.392482/Area))
9,12,6.7459593,C_in * (132.76355 / ((Distance / (sqrt(Area) - 2.5114663)) + 137.92467)),0.002513116146087172,132.76355*C_in/(Distance/(sqrt(Area) - 2.5114663) + 137.92467),PySRFunction(X=>132.76355*C_in/(Distance/(sqrt(Area) - 2.5114663) + 137.92467))
10,13,6.553335,(C_in * 88.06836) / ((Distance / (sqrt(Area) + log(V_in))) + 90.89359),0.028969623042018566,88.06836*C_in/(Distance/(sqrt(Area) + log(V_in)) + 90.89359),PySRFunction(X=>88.06836*C_in/(Distance/(sqrt(Area) + log(V_in)) + 90.89359))
11,14,6.3030057,(C_in / ((Distance / sqrt(Area + (-5.404157 / V_in))) + 105.473434)) * 102.973526,0.03894746551254297,102.973526*C_in/(Distance/sqrt(Area - 5.404157/V_in) + 105.473434),PySRFunction(X=>102.973526*C_in/(Distance/sqrt(Area - 5.404157/V_in) + 105.473434))
12,16,6.2960854,((C_in + -0.14215575) / ((Distance / sqrt(Area + (-5.404157 / V_in))) + 105.473434)) * 102.973526,0.0005492698354999276,102.973526*(C_in - 0.14215575)/(Distance/sqrt(Area - 5.404157/V_in) + 105.473434),PySRFunction(X=>102.973526*(C_in - 0.14215575)/(Distance/sqrt(Area - 5.404157/V_in) + 105.473434))
13,18,6.2726912,97.92076 * (C_in / (((Distance / sqrt((-5.4185853 / V_in) + Area)) - (2.0957808 / V_in)) + 103.605965)),0.001861297066559784,97.92076*C_in/(Distance/sqrt(Area - 5.4185853/V_in) + 103.605965 - 2.0957808/V_in),PySRFunction(X=>97.92076*C_in/(Distance/sqrt(Area - 5.4185853/V_in) + 103.605965 - 2.0957808/V_in))
14,19,6.251765,(C_in * 98.592804) / (((Distance / sqrt((-5.408083 / V_in) + Area)) - exp(0.579493 / V_in)) + 105.18405),0.0033416571767800147,98.592804*C_in/(Distance/sqrt(Area - 5.408083/V_in) - exp(0.579493/V_in) + 105.18405),PySRFunction(X=>98.592804*C_in/(Distance/sqrt(Area - 5.408083/V_in) - exp(0.579493/V_in) + 105.18405))
15,20,6.2351074,(108.36736 * C_in) / ((Distance / sqrt((-5.6686926 / V_in) + Area)) + (123.320915 - (1.1516187 / (0.30007592 * V_in)))),0.002668019556472346,108.36736*C_in/(Distance/sqrt(Area - 5.6686926/V_in) + 123.320915 - 3.83775779142825/V_in),PySRFunction(X=>108.36736*C_in/(Distance/sqrt(Area - 5.6686926/V_in) + 123.320915 - 3.83775779142825/V_in))
16,21,6.2247195,(C_in * 108.51541) / (((Distance / sqrt((-5.6922174 / V_in) + Area)) - (1.9940497 / (sqrt(V_in) * V_in))) + 121.88407),0.001667423229899082,108.51541*C_in/(Distance/sqrt(Area - 5.6922174/V_in) + 121.88407 - 1.9940497/V_in**(3/2)),PySRFunction(X=>108.51541*C_in/(Distance/sqrt(Area - 5.6922174/V_in) + 121.88407 - 1.9940497/V_in**(3/2)))
17,25,6.223649,(C_in * 108.36736) / (((Distance / sqrt((-5.6686926 / V_in) + Area)) + 123.320915) - (exp(exp(V_in + -0.53654623)) / (V_in * sqrt(V_in)))),4.2997602562900125e-05,108.36736*C_in/(Distance/sqrt(Area - 5.6686926/V_in) + 123.320915 - exp(0.584764410474624*exp(V_in))/V_in**(3/2)),PySRFunction(X=>108.36736*C_in/(Distance/sqrt(Area - 5.6686926/V_in) + 123.320915 - exp(0.584764410474624*exp(V_in))/V_in**(3/2)))
