,Loss
0,106.44519213324004
1,93.06479887510474
2,92.19715416391631
3,92.26481215044099
4,92.16131092820123
5,91.98340719229898
6,91.85399834116907
7,91.40115899849154
8,91.58819589149233
9,91.72510923930949
10,91.25092420698842
11,91.83290624305937
12,91.17553304152094
13,91.3206151843888
14,91.40535676344793
15,91.12478455072076
16,90.97798730075513
17,91.10925575337704
18,91.5218512993929
19,90.9738648099344
20,91.19182575143213
21,90.98061596721242
22,91.4798288897228
23,91.05026515853416
24,91.34587889610148
25,91.06802931910916
26,90.66877457182802
27,91.07666258235466
28,90.91076273024913
29,91.01913182052724
30,91.13813447847419
31,90.85628589710399
32,90.83087357577723
33,90.49691727458236
34,91.09084458619542
35,90.81294959277248
36,91.13959799107342
37,90.7752199382971
38,91.13052013443479
39,90.71575226910221
40,90.82148270783091
41,90.31272247611716
42,90.75410378685974
43,90.95024088137129
44,90.54434027681138
45,90.60379963934287
46,90.54862451420603
47,90.69843534499579
48,90.70150136635776
49,90.47039928932185
50,90.69299392001548
51,90.70225702792861
52,90.56814893027642
