,complexity,loss,equation,score,sympy_format,lambda_format
0,1,135.32632,6.582684,0.0,6.58268400000000,PySRFunction(X=>6.58268400000000)
1,2,133.32933,sqrt(C_in),0.014866813941571131,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,96.87709,C_in * 0.592814,0.31937917135477306,C_in*0.592814,PySRFunction(X=>C_in*0.592814)
3,5,96.02243,sqrt(C_in) * log(C_in),0.004430625812053552,sqrt(C_in)*log(C_in),PySRFunction(X=>sqrt(C_in)*log(C_in))
4,6,88.23522,C_in / exp(Distance * 0.0010596773),0.08457560697650013,C_in/exp(Distance*0.0010596773),PySRFunction(X=>C_in/exp(Distance*0.0010596773))
5,8,86.71438,exp((Distance * -0.03731899) / Area) * C_in,0.008693236857738167,C_in*exp(Distance*(-0.03731899)/Area),PySRFunction(X=>C_in*exp(Distance*(-0.03731899)/Area))
6,10,86.38152,C_in * exp(((C_in + Distance) * -0.03477582) / Area),0.0019229826373128984,C_in*exp((C_in + Distance)*(-0.03477582)/Area),PySRFunction(X=>C_in*exp((C_in + Distance)*(-0.03477582)/Area))
7,12,86.09505,exp(((Distance + (C_in / V_in)) / -30.597322) / Area) * C_in,0.0016609227759156935,C_in*exp((C_in/V_in + Distance)/((-30.597322)*Area)),PySRFunction(X=>C_in*exp((C_in/V_in + Distance)/((-30.597322)*Area)))
8,13,84.65924,exp(((exp(C_in / 14.450496) + Distance) / -30.597322) / Area) * C_in,0.01681766052412545,C_in*exp((Distance + exp(C_in/14.450496))/((-30.597322)*Area)),PySRFunction(X=>C_in*exp((Distance + exp(C_in/14.450496))/((-30.597322)*Area)))
9,15,84.492424,exp(((Distance + exp((C_in / 9.364659) + -3.5657516)) / -29.757732) / Area) * C_in,0.000986192214345325,C_in*exp((Distance + exp(C_in/9.364659 - 3.5657516))/((-29.757732)*Area)),PySRFunction(X=>C_in*exp((Distance + exp(C_in/9.364659 - 3.5657516))/((-29.757732)*Area)))
10,17,84.47502,C_in * exp(((Distance + exp((C_in / 8.548086) + -4.52571)) / 13.776596) * (-0.46268252 / Area)),0.00010300209111022521,C_in*exp((Distance + exp(C_in/8.548086 - 4.52571))*(-0.46268252)/(13.776596*Area)),PySRFunction(X=>C_in*exp((Distance + exp(C_in/8.548086 - 4.52571))*(-0.46268252)/(13.776596*Area)))
11,19,83.66243,exp((-0.7415659 * ((Distance / 17.089516) + inv((Distance + -61.019783) * (V_in / 17.092804)))) / Area) * C_in,0.004832928812703189,C_in*exp(-0.7415659*(Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))/Area),PySRFunction(X=>C_in*exp(-0.7415659*(Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))/Area))
12,21,83.354004,0.62837017 + (exp((((Distance / 17.092804) + inv((V_in / 17.092804) * (Distance + -61.019783))) / Area) * -0.7415659) * C_in),0.0018466826480190103,C_in*exp((Distance/17.092804 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) + 0.62837017,PySRFunction(X=>C_in*exp((Distance/17.092804 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) + 0.62837017)
13,23,83.29466,(exp((((Distance / 17.089516) + inv((V_in / 17.092804) * (Distance + -61.019783))) / Area) * -0.7415659) * (C_in - 0.9421789)) + 0.62837017,0.00035610247981620057,(C_in - 1*0.9421789)*exp((Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) + 0.62837017,PySRFunction(X=>(C_in - 1*0.9421789)*exp((Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) + 0.62837017)
14,24,83.09281,(exp((((Distance / 17.089516) + inv((V_in / 17.092804) * (Distance + -61.019783))) / Area) * -0.7415659) * (C_in - 0.9421789)) + exp(-0.093622714),0.0024262656198844445,(C_in - 1*0.9421789)*exp((Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) + exp(-0.093622714),PySRFunction(X=>(C_in - 1*0.9421789)*exp((Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) + exp(-0.093622714))
15,25,83.04601,((exp((((Distance / 17.089516) + inv((V_in / 17.092804) * (Distance + -61.019783))) / Area) * -0.7415659) * (C_in - 0.9421789)) + 0.62837017) - -0.50530684,0.0005633842979970032,(C_in - 1*0.9421789)*exp((Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) - 1*(-0.50530684) + 0.62837017,PySRFunction(X=>(C_in - 1*0.9421789)*exp((Distance/17.089516 + 17.092804/(V_in*(Distance - 61.019783)))*(-0.7415659)/Area) - 1*(-0.50530684) + 0.62837017)
