,complexity,loss,equation,score,sympy_format,lambda_format
0,1,47.63503,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,13.404459,C_in / 1.6219268,0.6339905010746983,C_in/1.6219268,PySRFunction(X=>C_in/1.6219268)
2,5,13.242635,(C_in / 1.6899761) + 0.5520706,0.006072931981949181,C_in/1.6899761 + 0.5520706,PySRFunction(X=>C_in/1.6899761 + 0.5520706)
3,6,12.510074,(C_in * 0.17315955) * log(Area),0.0569073091051598,0.17315955*C_in*log(Area),PySRFunction(X=>0.17315955*C_in*log(Area))
4,7,2.6269042,C_in + (Distance * (C_in * -0.00069518806)),1.5607281971440303,Distance*C_in*(-0.00069518806) + C_in,PySRFunction(X=>Distance*C_in*(-0.00069518806) + C_in)
5,9,2.3109097,((C_in + Distance) * (C_in * -0.00066291844)) + C_in,0.06408239302509346,(C_in + Distance)*C_in*(-0.00066291844) + C_in,PySRFunction(X=>(C_in + Distance)*C_in*(-0.00066291844) + C_in)
6,10,2.2193453,C_in - (((sqrt(C_in) - C_in) * Distance) * -0.000865556),0.04042901405509397,C_in + 0.000865556*Distance*(sqrt(C_in) - C_in),PySRFunction(X=>C_in + 0.000865556*Distance*(sqrt(C_in) - C_in))
7,11,1.7189204,C_in - (((Area * -8.510524e-6) - -0.0010120966) * (Distance * C_in)),0.2555158231430983,-C_in*Distance*(Area*(-8.510524e-6) - 1*(-0.0010120966)) + C_in,PySRFunction(X=>-C_in*Distance*(Area*(-8.510524e-6) - 1*(-0.0010120966)) + C_in)
8,13,1.5271814,((C_in * -0.0006945855) * (Distance + ((C_in - Area) / 0.30236122))) + C_in,0.059136302566427386,C_in*(-0.0006945855)*(Distance + (-Area + C_in)/0.30236122) + C_in,PySRFunction(X=>C_in*(-0.0006945855)*(Distance + (-Area + C_in)/0.30236122) + C_in)
9,15,1.4308828,((1.8640013 - C_in) * ((((Area * 8.35552) - Distance) * -0.00075221993) + -0.7867008)) + 1.4039268,0.032566108876138276,(1.8640013 - C_in)*((Area*8.35552 - Distance)*(-0.00075221993) - 0.7867008) + 1.4039268,PySRFunction(X=>(1.8640013 - C_in)*((Area*8.35552 - Distance)*(-0.00075221993) - 0.7867008) + 1.4039268)
10,17,1.1434302,-0.07107458 - (C_in * ((((C_in * -4.4504413e-6) - 0.0005436685) * ((Area * 8.051249) - Distance)) + -0.79917896)),0.112129452249277,-C_in*((C_in*(-4.4504413e-6) - 1*0.0005436685)*(Area*8.051249 - Distance) - 0.79917896) - 0.07107458,PySRFunction(X=>-C_in*((C_in*(-4.4504413e-6) - 1*0.0005436685)*(Area*8.051249 - Distance) - 0.79917896) - 0.07107458)
