,complexity,loss,equation,score,sympy_format,lambda_format
0,1,123.48614,6.411346,0.0,6.41134600000000,PySRFunction(X=>6.41134600000000)
1,2,120.74019,sqrt(C_in),0.02248787605316656,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,87.14585,C_in * 0.5768479,0.32605789521173995,C_in*0.5768479,PySRFunction(X=>C_in*0.5768479)
3,5,86.47382,exp(log(C_in) * 0.8377137),0.003870721308379173,C_in**0.8377137,PySRFunction(X=>C_in**0.8377137)
4,6,78.98877,C_in / exp(Distance / 904.48065),0.09053601870408114,C_in/exp(Distance/904.48065),PySRFunction(X=>C_in/exp(Distance/904.48065))
5,7,78.85866,C_in / exp(sqrt(Distance) / Area),0.0016485542966014402,C_in*exp(-sqrt(Distance)/Area),PySRFunction(X=>C_in*exp(-sqrt(Distance)/Area))
6,8,78.5076,C_in / exp((C_in + Distance) / 956.3155),0.00446170077845755,C_in/exp((C_in + Distance)/956.3155),PySRFunction(X=>C_in/exp((C_in + Distance)/956.3155))
7,9,77.51609,C_in / exp(Distance / (inv(0.039101224) * Area)),0.012709907674738707,C_in/exp(Distance/((25.5746469726881*Area))),PySRFunction(X=>C_in/exp(Distance/((25.5746469726881*Area))))
8,11,77.15302,C_in / ((Distance / ((Area * 16.784824) - C_in)) + 0.9145756),0.00234740257362636,C_in/(Distance/(Area*16.784824 - C_in) + 0.9145756),PySRFunction(X=>C_in/(Distance/(Area*16.784824 - C_in) + 0.9145756))
9,12,76.961586,C_in / ((Distance / (Area * (21.61811 - sqrt(C_in)))) + 0.91707987),0.002484308313483215,C_in/(0.91707987 + Distance/(Area*(21.61811 - sqrt(C_in)))),PySRFunction(X=>C_in/(0.91707987 + Distance/(Area*(21.61811 - sqrt(C_in)))))
10,13,75.96311,C_in / ((Distance / ((Area * 20.028011) - (C_in / V_in))) + 0.91988844),0.01305858654588612,C_in/(Distance/(Area*20.028011 - C_in/V_in) + 0.91988844),PySRFunction(X=>C_in/(Distance/(Area*20.028011 - C_in/V_in) + 0.91988844))
11,15,75.90775,(C_in / ((Distance / ((Area * 20.329958) - (C_in / V_in))) + 0.8980974)) - 0.29485846,0.0003645202407624011,C_in/(Distance/(Area*20.329958 - C_in/V_in) + 0.8980974) - 1*0.29485846,PySRFunction(X=>C_in/(Distance/(Area*20.329958 - C_in/V_in) + 0.8980974) - 1*0.29485846)
12,16,75.843994,C_in / ((Distance / ((Area * 19.556126) - exp(0.6248777 / sqrt(inv(C_in))))) + 0.92987627),0.0008402671636015968,C_in/(Distance/(19.556126*Area - exp(0.6248777/sqrt(1/C_in))) + 0.92987627),PySRFunction(X=>C_in/(Distance/(19.556126*Area - exp(0.6248777/sqrt(1/C_in))) + 0.92987627))
13,17,75.83652,((C_in + -1.2934365) / ((Distance / ((Area * 19.86091) - (C_in / V_in))) + 0.8732329)) + 0.5176631,9.854924418379025e-05,(C_in - 1.2934365)/(Distance/(Area*19.86091 - C_in/V_in) + 0.8732329) + 0.5176631,PySRFunction(X=>(C_in - 1.2934365)/(Distance/(Area*19.86091 - C_in/V_in) + 0.8732329) + 0.5176631)
14,18,75.43211,C_in / ((Distance / ((Area * 18.743282) - (C_in / V_in))) - inv(-0.8496302 - (C_in * 0.009638158))),0.005346924388657396,C_in/(Distance/(Area*18.743282 - C_in/V_in) - 1/(-0.009638158*C_in - 0.8496302)),PySRFunction(X=>C_in/(Distance/(Area*18.743282 - C_in/V_in) - 1/(-0.009638158*C_in - 0.8496302)))
15,20,75.26414,(V_in + C_in) / ((Distance / ((18.4287 * Area) - (C_in / V_in))) - inv(-0.68979365 - (0.013489117 * C_in))),0.0011146267379683235,(C_in + V_in)/(Distance/(18.4287*Area - C_in/V_in) - 1/(-0.013489117*C_in - 0.68979365)),PySRFunction(X=>(C_in + V_in)/(Distance/(18.4287*Area - C_in/V_in) - 1/(-0.013489117*C_in - 0.68979365)))
16,22,75.13847,(V_in + C_in) / ((Distance / ((Area * 22.050587) - ((C_in + 27.892237) / V_in))) - inv(-0.6639802 - (C_in * 0.013065474))),0.0008355575029300973,(C_in + V_in)/(Distance/(Area*22.050587 - (C_in + 27.892237)/V_in) - 1/(-0.013065474*C_in - 0.6639802)),PySRFunction(X=>(C_in + V_in)/(Distance/(Area*22.050587 - (C_in + 27.892237)/V_in) - 1/(-0.013065474*C_in - 0.6639802)))
17,24,75.131325,(V_in + C_in) / ((Distance / ((Area * 22.050587) - ((C_in + 27.892237) / V_in))) - inv(-0.6639802 - ((V_in + C_in) * 0.013065474))),4.754781228906612e-05,(C_in + V_in)/(Distance/(Area*22.050587 - (C_in + 27.892237)/V_in) - 1/(-0.013065474*(C_in + V_in) - 0.6639802)),PySRFunction(X=>(C_in + V_in)/(Distance/(Area*22.050587 - (C_in + 27.892237)/V_in) - 1/(-0.013065474*(C_in + V_in) - 0.6639802)))
18,25,75.12844,(V_in + C_in) / ((Distance / ((22.050587 * Area) - ((27.892237 + C_in) / V_in))) - inv(-0.6639802 - ((square(V_in) + C_in) * 0.013065474))),3.8400166543047465e-05,(C_in + V_in)/(Distance/(22.050587*Area - (C_in + 27.892237)/V_in) - 1/(-0.013065474*(C_in + V_in**2) - 0.6639802)),PySRFunction(X=>(C_in + V_in)/(Distance/(22.050587*Area - (C_in + 27.892237)/V_in) - 1/(-0.013065474*(C_in + V_in**2) - 0.6639802)))
