,Loss
0,48.46759793533037
1,40.83132636901739
2,40.386358339027346
3,40.400623548110055
4,40.288517493983605
5,40.24657936322389
6,40.20055360648839
7,39.92269675987255
8,40.03449739125585
9,40.14310548429328
10,39.87929510354063
11,40.2018032324567
12,39.84369045203732
13,39.93748597299744
14,39.97390036990672
15,39.786654813013385
16,39.78779933328614
17,39.772614248872685
18,40.00969032178504
19,39.713780918666075
20,39.86498004136676
21,39.70722905276766
22,39.93110906299202
23,39.74672905501041
24,39.903639366606285
25,39.75560635378988
26,39.55682447826911
27,39.74421322796734
28,39.685763420669716
29,39.747121179792686
30,39.772528151876045
31,39.66732809005198
32,39.649223665617946
33,39.45636102766436
34,39.769974770990004
35,39.62382574545848
36,39.872900845378226
37,39.65570146319343
38,39.75207482843333
39,39.57722015517564
40,39.64467771216339
41,39.440550185027504
42,39.55780996917983
43,39.736031924254796
44,39.45544952938619
45,39.49115241712829
46,39.47706074944954
47,39.56265775281922
48,39.57079116675629
49,39.44260273310986
50,39.52867316153915
51,39.52957111854894
52,39.545244637628265
