,Loss
0,17.796551802287347
1,12.26056034543647
2,12.020034001263852
3,11.985672919007227
4,11.917768236276155
5,11.915046234209784
6,11.858818912056252
7,11.749819482732581
8,11.797853018166464
9,11.856308217495654
10,11.749689189877333
11,11.888791149512247
12,11.720036146061334
13,11.78293461245984
14,11.766309312236066
15,11.693854823351074
16,11.716997459331502
17,11.681547692770886
18,11.809171373654
19,11.671638316450668
20,11.733478718241626
21,11.644353695144918
22,11.692458014893655
23,11.690553066975449
24,11.741759258924793
25,11.65166127837184
26,11.588403614782013
27,11.688187268567901
28,11.65599309163676
29,11.708344131268719
30,11.686065612044011
31,11.643486417628408
32,11.661168996457818
33,11.529571990983404
34,11.671406442005901
35,11.6347415429762
36,11.785886701354666
37,11.6307669145645
38,11.705494051526552
39,11.627694268016095
40,11.650852936529244
41,11.586858049319176
42,11.557819439547613
43,11.694564941305917
44,11.529838994265505
