,complexity,loss,equation,score,sympy_format,lambda_format
0,1,46.492184,6.0080104,0.0,6.00801040000000,PySRFunction(X=>6.00801040000000)
1,2,41.6652,sqrt(C_in),0.10961796442910988,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,11.431151,C_in / 1.8085994,1.2933240753653226,C_in/1.8085994,PySRFunction(X=>C_in/1.8085994)
3,5,11.327317,(-0.82944536 - C_in) * -0.5330856,0.004562465297383588,(-C_in - 0.82944536)*(-0.5330856),PySRFunction(X=>(-C_in - 0.82944536)*(-0.5330856))
4,6,1.6883746,exp(-0.0012139402 * Distance) * C_in,1.9034509510699968,C_in*exp(-0.0012139402*Distance),PySRFunction(X=>C_in*exp(-0.0012139402*Distance))
5,8,1.5467229,exp((Distance - Area) * -0.0012802444) * C_in,0.043813928158411376,C_in*exp((-Area + Distance)*(-0.0012802444)),PySRFunction(X=>C_in*exp((-Area + Distance)*(-0.0012802444)))
6,10,1.541616,exp(-0.0012802444 * (Distance - (-1.1230221 + Area))) * C_in,0.0016536088881975582,C_in*exp(-0.0012802444*(Distance - (Area - 1.1230221))),PySRFunction(X=>C_in*exp(-0.0012802444*(Distance - (Area - 1.1230221))))
7,11,1.3256693,C_in * (((Area * 0.0052963966) + 0.70687115) - (Distance * 0.0006375591)),0.15091375291395556,C_in*(Area*0.0052963966 - 0.0006375591*Distance + 0.70687115),PySRFunction(X=>C_in*(Area*0.0052963966 - 0.0006375591*Distance + 0.70687115))
8,12,0.81754386,C_in * (1.1505139 - (sqrt(Distance) * ((Area * -0.00022568724) - -0.035343632))),0.4833681902511623,C_in*(-sqrt(Distance)*(0.035343632 - 0.00022568724*Area) + 1.1505139),PySRFunction(X=>C_in*(-sqrt(Distance)*(0.035343632 - 0.00022568724*Area) + 1.1505139))
9,13,0.8112608,C_in * (1.1505139 - (((sqrt(Area) * -0.0028143723) - -0.04391929) * sqrt(Distance))),0.00771497198978033,C_in*(-sqrt(Distance)*(0.04391929 - 0.0028143723*sqrt(Area)) + 1.1505139),PySRFunction(X=>C_in*(-sqrt(Distance)*(0.04391929 - 0.0028143723*sqrt(Area)) + 1.1505139))
10,14,0.79783386,C_in * (1.1539806 - (sqrt(Distance) * (((V_in + Area) * -0.00022801656) - -0.03580342))),0.016689200433193743,C_in*(-sqrt(Distance)*(-0.00022801656*Area - 0.00022801656*V_in + 0.03580342) + 1.1539806),PySRFunction(X=>C_in*(-sqrt(Distance)*(-0.00022801656*Area - 0.00022801656*V_in + 0.03580342) + 1.1539806))
11,15,0.73888195,(1.1516857 - (sqrt(Distance) * (((Area - sqrt(C_in)) * -0.00022063115) - -0.03390302))) * C_in,0.07676221499325633,C_in*(-sqrt(Distance)*(-0.00022063115*Area + 0.00022063115*sqrt(C_in) + 0.03390302) + 1.1516857),PySRFunction(X=>C_in*(-sqrt(Distance)*(-0.00022063115*Area + 0.00022063115*sqrt(C_in) + 0.03390302) + 1.1516857))
12,16,0.6649286,C_in * (1.1539152 - ((((Area - (C_in * 0.24136445)) * -0.00019739871) - -0.032630254) * sqrt(Distance))),0.10545849882174135,C_in*(-sqrt(Distance)*(-0.00019739871*Area + 4.76450310698595e-5*C_in + 0.032630254) + 1.1539152),PySRFunction(X=>C_in*(-sqrt(Distance)*(-0.00019739871*Area + 4.76450310698595e-5*C_in + 0.032630254) + 1.1539152))
13,17,0.62810236,C_in * (1.1545495 - (sqrt(Distance) * (((Area - square(C_in * 0.051729314)) * -0.00019206699) - -0.033241194))),0.05697651965364666,C_in*(-sqrt(Distance)*(-0.00019206699*Area + 5.13956269976718e-7*C_in**2 + 0.033241194) + 1.1545495),PySRFunction(X=>C_in*(-sqrt(Distance)*(-0.00019206699*Area + 5.13956269976718e-7*C_in**2 + 0.033241194) + 1.1545495))
14,18,0.62727326,(1.1549227 - (sqrt(Distance) * (((Area - exp(C_in * inv(Area))) * -0.00019430053) - -0.033281997))) * C_in,0.0013208797547713245,C_in*(-sqrt(Distance)*(-0.00019430053*Area + 0.00019430053*exp(C_in/Area) + 0.033281997) + 1.1549227),PySRFunction(X=>C_in*(-sqrt(Distance)*(-0.00019430053*Area + 0.00019430053*exp(C_in/Area) + 0.033281997) + 1.1549227))
15,19,0.61054236,(1.1549227 - (sqrt(Distance) * (((Area - sqrt(sqrt(exp(C_in * 0.1377339)))) * -0.00019430053) - -0.033281997))) * C_in,0.02703459016891675,C_in*(-sqrt(Distance)*(-0.00019430053*Area + 0.00019430053*exp(0.1377339*C_in)**(1/4) + 0.033281997) + 1.1549227),PySRFunction(X=>C_in*(-sqrt(Distance)*(-0.00019430053*Area + 0.00019430053*exp(0.1377339*C_in)**(1/4) + 0.033281997) + 1.1549227))
16,21,0.590904,(C_in + -0.30882224) * (1.1734159 - (sqrt(Distance) * (((Area - sqrt(sqrt(exp(C_in * 0.1385147)))) * -0.00020329257) - -0.034017205))),0.0163470546147177,(C_in - 0.30882224)*(-sqrt(Distance)*(-0.00020329257*Area + 0.00020329257*exp(0.1385147*C_in)**(1/4) + 0.034017205) + 1.1734159),PySRFunction(X=>(C_in - 0.30882224)*(-sqrt(Distance)*(-0.00020329257*Area + 0.00020329257*exp(0.1385147*C_in)**(1/4) + 0.034017205) + 1.1734159))
17,23,0.56101143,((1.1980383 - ((((Area - sqrt(sqrt(exp(C_in * 0.13466464)))) * -0.0002082242) - -0.035615448) * sqrt(Distance))) * (C_in + -1.3748195)) - -0.7508154,0.025956144008468317,(C_in - 1.3748195)*(-sqrt(Distance)*(-0.0002082242*Area + 0.0002082242*exp(0.13466464*C_in)**(1/4) + 0.035615448) + 1.1980383) + 0.7508154,PySRFunction(X=>(C_in - 1.3748195)*(-sqrt(Distance)*(-0.0002082242*Area + 0.0002082242*exp(0.13466464*C_in)**(1/4) + 0.035615448) + 1.1980383) + 0.7508154)
18,24,0.5453361,((1.2142527 - ((((Area - sqrt(sqrt(exp(C_in * 0.13508196)))) * -0.00023312497) - -0.035491977) * sqrt(Distance))) * (C_in + -0.73143846)) + log(V_in),0.028338977815346732,(C_in - 0.73143846)*(-sqrt(Distance)*(-0.00023312497*Area + 0.00023312497*exp(0.13508196*C_in)**(1/4) + 0.035491977) + 1.2142527) + log(V_in),PySRFunction(X=>(C_in - 0.73143846)*(-sqrt(Distance)*(-0.00023312497*Area + 0.00023312497*exp(0.13508196*C_in)**(1/4) + 0.035491977) + 1.2142527) + log(V_in))
