,complexity,loss,equation,score,sympy_format,lambda_format
0,1,39.118176,5.6299706,0.0,5.62997060000000,PySRFunction(X=>5.62997060000000)
1,2,33.371834,sqrt(C_in),0.15887496751516725,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,9.504575,C_in * 0.5079854,1.2559389891656254,C_in*0.5079854,PySRFunction(X=>C_in*0.5079854)
3,5,9.329226,0.570956 - (C_in * -0.4828049),0.009310604206632055,0.570956 - (-0.4828049)*C_in,PySRFunction(X=>0.570956 - (-0.4828049)*C_in)
4,7,1.0384989,(444.3432 / (Distance + 454.32855)) * C_in,1.0976878740526168,444.3432*C_in/(Distance + 454.32855),PySRFunction(X=>444.3432*C_in/(Distance + 454.32855))
5,8,1.0384986,444.3432 / (inv(C_in) * (Distance + 454.32855)),2.888785374054456e-07,444.3432/(((Distance + 454.32855)/C_in)),PySRFunction(X=>444.3432/(((Distance + 454.32855)/C_in)))
6,9,0.7847119,((C_in * 396.36307) / (Distance + 413.4419)) + 0.6795877,0.280214651167378,C_in*396.36307/(Distance + 413.4419) + 0.6795877,PySRFunction(X=>C_in*396.36307/(Distance + 413.4419) + 0.6795877)
7,11,0.41969022,(C_in * -10.208212) / ((Distance / (-8.103078 - Area)) + -10.452719),0.31289988817022424,C_in*(-10.208212)/(Distance/(-Area - 8.103078) - 10.452719),PySRFunction(X=>C_in*(-10.208212)/(Distance/(-Area - 8.103078) - 10.452719))
8,12,0.35919535,(C_in * -13.789402) / ((Distance / (inv(V_in) - Area)) + -14.215423),0.15565047679925992,C_in*(-13.789402)/(Distance/(-Area + 1/V_in) - 14.215423),PySRFunction(X=>C_in*(-13.789402)/(Distance/(-Area + 1/V_in) - 14.215423))
9,13,0.19257246,(C_in * -9.842071) / (-10.04908 + (Distance / ((V_in / -0.053096984) - Area))),0.6233938924242719,C_in*(-9.842071)/(Distance/(-Area + V_in/(-0.053096984)) - 10.04908),PySRFunction(X=>C_in*(-9.842071)/(Distance/(-Area + V_in/(-0.053096984)) - 10.04908))
10,15,0.11891018,((-18.201035 / ((Distance / ((V_in * -19.377531) - Area)) + -16.099964)) + -0.19517152) * C_in,0.24105204014372236,C_in*(-0.19517152 - 18.201035/(Distance/(-Area + V_in*(-19.377531)) - 16.099964)),PySRFunction(X=>C_in*(-0.19517152 - 18.201035/(Distance/(-Area + V_in*(-19.377531)) - 16.099964)))
11,18,0.10438381,C_in * ((-29.096048 / ((Distance / (-6.8233314 - (Area * log(V_in + 1.5100609)))) + -25.215776)) + -0.22628972),0.04343127713455816,C_in*(-0.22628972 - 29.096048/(Distance/(-Area*log(V_in + 1.5100609) - 6.8233314) - 25.215776)),PySRFunction(X=>C_in*(-0.22628972 - 29.096048/(Distance/(-Area*log(V_in + 1.5100609) - 6.8233314) - 25.215776)))
12,20,0.083859384,C_in * (((V_in + -27.890926) / ((Distance / (-5.210305 - (log(V_in + 1.4376655) * Area))) + -24.49007)) + -0.17213103),0.10946659532744224,C_in*((V_in - 27.890926)/(Distance/(-Area*log(V_in + 1.4376655) - 5.210305) - 24.49007) - 0.17213103),PySRFunction(X=>C_in*((V_in - 27.890926)/(Distance/(-Area*log(V_in + 1.4376655) - 5.210305) - 24.49007) - 0.17213103))
13,22,0.08360939,C_in * (((V_in + -27.890926) / (((Distance + -0.7917579) / (-5.210305 - (log(V_in + 1.4376655) * Area))) + -24.49007)) + -0.17213103),0.0014927808911712065,C_in*((V_in - 27.890926)/((Distance - 0.7917579)/(-Area*log(V_in + 1.4376655) - 5.210305) - 24.49007) - 0.17213103),PySRFunction(X=>C_in*((V_in - 27.890926)/((Distance - 0.7917579)/(-Area*log(V_in + 1.4376655) - 5.210305) - 24.49007) - 0.17213103))
14,25,0.07712748,(((-29.362614 / ((V_in / -0.708454) + (-24.576288 + (Distance / ((-5.3155165 - Area) * log(1.6096956 + V_in)))))) + inv(Area)) + -0.24932131) * C_in,0.02689873235239709,C_in*(-0.24932131 - 29.362614/(Distance/((-Area - 5.3155165)*log(V_in + 1.6096956)) - 1.41152424857507*V_in - 24.576288) + 1/Area),PySRFunction(X=>C_in*(-0.24932131 - 29.362614/(Distance/((-Area - 5.3155165)*log(V_in + 1.6096956)) - 1.41152424857507*V_in - 24.576288) + 1/Area))
