,Loss
0,7.326946011753368
1,1.8597802022712084
2,1.6928171512871453
3,1.6291641784908804
4,1.6109974978367299
5,1.5882684102649924
6,1.564519464690228
7,1.5359672383720195
8,1.564854761524918
9,1.5693466967651428
10,1.5284221559228892
11,1.5472815672016236
12,1.5143484526591173
13,1.5427984574095965
14,1.5249689470274257
15,1.5118672869275869
16,1.5152147983704172
17,1.5092950208695373
18,1.537627367698714
19,1.5071513415048383
20,1.5243825410858665
21,1.4831937519214995
22,1.4853890063839832
23,1.4915643242768817
24,1.5077678785493778
25,1.485364113748184
26,1.4655907035286933
27,1.5131744715817534
28,1.4877772894961512
29,1.4994493284021355
30,1.5091531958187583
31,1.4803380023233559
32,1.486621759050822
33,1.4550987084863365
34,1.495231922942701
35,1.5034421680581502
36,1.5378446888940829
37,1.4816950705532699
38,1.5199903551084426
39,1.4824823558816904
40,1.4908987930944084
41,1.4933258854487026
42,1.4799856655683714
43,1.5089132906338174
44,1.4600167621080553
