,Loss
0,6.2578079317493
1,0.7400597461290807
2,0.5867566559524242
3,0.5223009356167166
4,0.4944719541388717
5,0.48134738779777203
6,0.46775908908928093
7,0.44404622991074827
8,0.463050360444869
9,0.457267526537933
10,0.4458862469916518
11,0.4475793243670101
12,0.4430627197103028
13,0.4581083876323021
14,0.43249549581505764
15,0.4292275185990199
16,0.44102422936815927
17,0.4375342721434263
18,0.44143955860598466
19,0.4349023016374323
20,0.4328081027603888
21,0.4145816643104234
22,0.4255110784363756
23,0.42982103961091084
24,0.4249292607156145
25,0.418497078716504
26,0.4124243790244891
27,0.43230360460665623
28,0.420854177008589
29,0.41868441016683833
30,0.42240473532532746
31,0.4224320139122838
32,0.41610462431186945
33,0.4023922391467064
34,0.42868676769577607
35,0.41957991903545017
36,0.43875241072365756
37,0.41837551382297794
38,0.44241496340859643
39,0.4132317440009025
40,0.41807387946277524
41,0.4285809209256381
42,0.4120012080807047
43,0.4301079557139919
44,0.40997569865060995
