,Loss
0,12.958507252617373
1,7.533281777712109
2,7.325978637014007
3,7.284692451710866
4,7.2306288101228775
5,7.236678679916082
6,7.182006557746266
7,7.095033908014868
8,7.136545250819586
9,7.172080745622541
10,7.100609938039923
11,7.184232622249291
12,7.064513864603052
13,7.126703837066815
14,7.096066572739645
15,7.045946725587403
16,7.069011218470365
17,7.037268252530551
18,7.133985834860597
19,7.033448597895067
20,7.074865137375635
21,7.007921559067197
22,7.029970022648895
23,7.041908916458531
24,7.070092795440237
25,7.013302166592659
26,6.959075891486484
27,7.046611459528228
28,7.021664395455539
29,7.060783293790496
30,7.0448209101174735
31,7.009941279647112
32,7.025328468158207
33,6.927039025297222
34,7.0286102263309065
35,7.0137448509495455
36,7.127579817514306
37,6.985171662841206
38,7.052797729023917
39,7.010354213467606
40,7.015191847486344
41,6.984703623018044
42,6.95152818629942
43,7.051486715088542
44,6.924860439744031
45,6.943505885940325
46,6.96115246096339
47,6.986794911317592
48,6.982982916607633
49,6.93313214600272
50,6.951026833603766
51,6.944129922347637
52,7.021691455602721
53,6.910881204944411
54,6.966773363566493
55,6.944674783443581
56,6.922552211945951
57,6.980440861865082
58,7.000633831443125
59,6.932698645762923
60,6.968336473564901
61,7.00254672603074
62,6.937889216972831
63,6.97410712310254
64,6.953193953345157
