,complexity,loss,equation,score,sympy_format,lambda_format
0,1,43.621796,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,15.094262,C_in / 1.5387217,0.530621131048391,C_in/1.5387217,PySRFunction(X=>C_in/1.5387217)
2,5,14.920345,(C_in * 0.62424004) + 0.57213384,0.005794476884955588,C_in*0.62424004 + 0.57213384,PySRFunction(X=>C_in*0.62424004 + 0.57213384)
3,6,3.3866625,exp(Distance * -0.0009995908) * C_in,1.4828807946661628,C_in*exp(Distance*(-0.0009995908)),PySRFunction(X=>C_in*exp(Distance*(-0.0009995908)))
4,7,3.0801928,C_in * ((Distance * -0.00072267145) + 1.0465765),0.09485273073756391,C_in*(1.0465765 + Distance*(-0.00072267145)),PySRFunction(X=>C_in*(1.0465765 + Distance*(-0.00072267145)))
5,8,2.3812208,exp(Distance * -0.0011756866) * (C_in * 1.158964),0.2573788950784471,exp(Distance*(-0.0011756866))*C_in*1.158964,PySRFunction(X=>exp(Distance*(-0.0011756866))*C_in*1.158964)
6,9,2.3187811,exp(Distance * -0.0011127791) * (log(C_in) + C_in),0.02657163766791319,(C_in + log(C_in))*exp(-0.0011127791*Distance),PySRFunction(X=>(C_in + log(C_in))*exp(-0.0011127791*Distance))
7,10,2.1271265,C_in * (exp((C_in + Distance) * -0.0011756865) * 1.1947818),0.08626965179619368,C_in*exp((C_in + Distance)*(-0.0011756865))*1.1947818,PySRFunction(X=>C_in*exp((C_in + Distance)*(-0.0011756865))*1.1947818)
8,11,1.8414218,(((Area * 0.0062934915) + 0.8164108) + (Distance * -0.0007276568)) * C_in,0.14423401726657023,C_in*(Area*0.0062934915 + Distance*(-0.0007276568) + 0.8164108),PySRFunction(X=>C_in*(Area*0.0062934915 + Distance*(-0.0007276568) + 0.8164108))
9,12,1.1634945,((sqrt(Distance) * ((Area * 0.00026617304) + -0.04069696)) + 1.3328394) * C_in,0.459110013987243,C_in*(sqrt(Distance)*(0.00026617304*Area - 0.04069696) + 1.3328394),PySRFunction(X=>C_in*(sqrt(Distance)*(0.00026617304*Area - 0.04069696) + 1.3328394))
