,complexity,loss,equation,score,sympy_format,lambda_format
0,1,167.08961,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,140.3652,C_in / 1.5125356,0.08714132885559693,C_in/1.5125356,PySRFunction(X=>C_in/1.5125356)
2,5,139.8469,log(C_in) * sqrt(C_in),0.0018496724127343872,sqrt(C_in)*log(C_in),PySRFunction(X=>sqrt(C_in)*log(C_in))
3,6,138.83824,C_in * (sqrt(Area) * 0.10949459),0.007238738344082947,0.10949459*sqrt(Area)*C_in,PySRFunction(X=>0.10949459*sqrt(Area)*C_in)
4,7,129.96693,((Distance * -0.0006722852) + 1.030163) * C_in,0.06602948097218067,C_in*(1.030163 + Distance*(-0.0006722852)),PySRFunction(X=>C_in*(1.030163 + Distance*(-0.0006722852)))
5,9,128.84264,((Distance * (C_in * -0.02107769)) / Area) + C_in,0.004344109347491128,C_in + Distance*C_in*(-0.02107769)/Area,PySRFunction(X=>C_in + Distance*C_in*(-0.02107769)/Area)
6,10,128.74796,C_in + ((Distance * -0.0037487352) * (C_in / sqrt(Area))),0.0007351200258374911,C_in - 0.0037487352*C_in*Distance/sqrt(Area),PySRFunction(X=>C_in - 0.0037487352*C_in*Distance/sqrt(Area))
7,11,127.570076,C_in * ((((C_in * 6.2080245) + Distance) * -0.0006813034) + 1.1946563),0.009190865456749991,C_in*(1.1946563 + (C_in*6.2080245 + Distance)*(-0.0006813034)),PySRFunction(X=>C_in*(1.1946563 + (C_in*6.2080245 + Distance)*(-0.0006813034)))
8,12,127.514725,(((Distance + (C_in * log(C_in))) * -0.0006816165) + 1.136491) * C_in,0.0004339811752933992,C_in*(-0.0006816165*C_in*log(C_in) - 0.0006816165*Distance + 1.136491),PySRFunction(X=>C_in*(-0.0006816165*C_in*log(C_in) - 0.0006816165*Distance + 1.136491))
9,13,126.650764,C_in * (((((C_in * C_in) * 0.06995931) + Distance) * -0.0006833183) + 1.1317962),0.006798439323909843,C_in*(1.1317962 + (C_in*C_in*0.06995931 + Distance)*(-0.0006833183)),PySRFunction(X=>C_in*(1.1317962 + (C_in*C_in*0.06995931 + Distance)*(-0.0006833183)))
10,15,125.82247,((C_in * (Distance - ((C_in / (Distance - 58.333046)) * 58.333046))) * -0.0007196761) + C_in,0.003280731816887184,C_in*(-58.333046*C_in/(Distance - 1*58.333046) + Distance)*(-0.0007196761) + C_in,PySRFunction(X=>C_in*(-58.333046*C_in/(Distance - 1*58.333046) + Distance)*(-0.0007196761) + C_in)
11,16,120.725975,(C_in * ((Distance - (square(C_in) / (16.616735 - (Distance * V_in)))) * -0.00060462265)) + C_in,0.041348637235148554,C_in*(-C_in**2/(16.616735 - Distance*V_in) + Distance)*(-0.00060462265) + C_in,PySRFunction(X=>C_in*(-C_in**2/(16.616735 - Distance*V_in) + Distance)*(-0.00060462265) + C_in)
12,17,120.68478,C_in + (((Distance - ((C_in * C_in) / (16.639303 - (V_in * Distance)))) * C_in) * -0.0006094624),0.00034128554380147464,(-C_in*C_in/(16.639303 - Distance*V_in) + Distance)*C_in*(-0.0006094624) + C_in,PySRFunction(X=>(-C_in*C_in/(16.639303 - Distance*V_in) + Distance)*C_in*(-0.0006094624) + C_in)
13,18,120.22247,(((Distance - (square(4.5753536 - C_in) / (16.614801 - (Distance * V_in)))) * C_in) * -0.0006350809) + C_in,0.003838079323210469,(Distance - (4.5753536 - C_in)**2/(16.614801 - Distance*V_in))*C_in*(-0.0006350809) + C_in,PySRFunction(X=>(Distance - (4.5753536 - C_in)**2/(16.614801 - Distance*V_in))*C_in*(-0.0006350809) + C_in)
14,20,119.43415,C_in + (-0.00061718834 * ((Distance - (square((C_in - 16.799942) * 1.6715537) / (16.788132 - (V_in * Distance)))) * C_in)),0.003289384800716846,-0.00061718834*C_in*(Distance - 2.79409177198369*(C_in - 1*16.799942)**2/(16.788132 - Distance*V_in)) + C_in,PySRFunction(X=>-0.00061718834*C_in*(Distance - 2.79409177198369*(C_in - 1*16.799942)**2/(16.788132 - Distance*V_in)) + C_in)
15,22,119.02391,C_in + ((((Distance - (square((C_in - 17.3485) * -1.5649147) / (16.709776 - (V_in * Distance)))) * -0.0006705907) * C_in) + 0.88711417),0.001720388083061,(Distance - 2.44895801827609*(C_in - 1*17.3485)**2/(16.709776 - Distance*V_in))*(-0.0006705907)*C_in + C_in + 0.88711417,PySRFunction(X=>(Distance - 2.44895801827609*(C_in - 1*17.3485)**2/(16.709776 - Distance*V_in))*(-0.0006705907)*C_in + C_in + 0.88711417)
16,24,119.0027,((C_in * -0.00061718834) * (Distance - ((square((C_in - 16.799942) * 1.6715537) / (16.788132 - (V_in * Distance))) - C_in))) + (C_in + 0.6251709),8.910768445650693e-05,C_in*(-0.00061718834)*(Distance - (-C_in + (2.79409177198369*(C_in - 1*16.799942)**2)/(16.788132 - Distance*V_in))) + C_in + 0.6251709,PySRFunction(X=>C_in*(-0.00061718834)*(Distance - (-C_in + (2.79409177198369*(C_in - 1*16.799942)**2)/(16.788132 - Distance*V_in))) + C_in + 0.6251709)
