,complexity,loss,equation,score,sympy_format,lambda_format
0,1,45.7199,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,14.464781,C_in * 0.6335593,0.5754084266886103,C_in*0.6335593,PySRFunction(X=>C_in*0.6335593)
2,5,14.2884655,(C_in + 0.9476968) * 0.60771435,0.006132097464866686,(C_in + 0.9476968)*0.60771435,PySRFunction(X=>(C_in + 0.9476968)*0.60771435)
3,6,6.6173296,C_in / exp(Distance * 0.0014604673),0.7697606985086362,C_in/exp(Distance*0.0014604673),PySRFunction(X=>C_in/exp(Distance*0.0014604673))
4,7,2.3141425,C_in / ((Distance * 0.0017124598) + 0.7986071),1.05065269632987,C_in/(Distance*0.0017124598 + 0.7986071),PySRFunction(X=>C_in/(Distance*0.0017124598 + 0.7986071))
5,8,1.7915789,C_in / exp((Distance * 0.033903506) / Area),0.25594191045291187,C_in/exp(Distance*0.033903506/Area),PySRFunction(X=>C_in/exp(Distance*0.033903506/Area))
6,9,1.10491,C_in / (((Distance * 0.06156299) / Area) + 0.7986071),0.48333341441039984,C_in/(0.7986071 + Distance*0.06156299/Area),PySRFunction(X=>C_in/(0.7986071 + Distance*0.06156299/Area))
7,10,0.9682795,C_in * (exp((Distance * -0.06347883) / Area) - -0.19862483),0.13199837740226428,C_in*(exp(Distance*(-0.06347883)/Area) - 1*(-0.19862483)),PySRFunction(X=>C_in*(exp(Distance*(-0.06347883)/Area) - 1*(-0.19862483)))
8,12,0.9001035,(exp((Distance * -0.07950216) / (Area + 8.704022)) - -0.19836076) * C_in,0.036505514278202464,C_in*(exp(Distance*(-0.07950216)/(Area + 8.704022)) - 1*(-0.19836076)),PySRFunction(X=>C_in*(exp(Distance*(-0.07950216)/(Area + 8.704022)) - 1*(-0.19836076)))
9,13,0.86245257,C_in * (exp((Distance * -0.06683639) / (Area + exp(V_in))) - -0.1983571),0.042729600623227795,C_in*(exp(Distance*(-0.06683639)/(Area + exp(V_in))) - 1*(-0.1983571)),PySRFunction(X=>C_in*(exp(Distance*(-0.06683639)/(Area + exp(V_in))) - 1*(-0.1983571)))
10,14,0.72307557,C_in * (exp((-0.072626285 / (Area + (V_in / 0.086888544))) * Distance) - -0.19103879),0.17626641657087788,C_in*(-1*(-0.19103879) + exp(-0.072626285*Distance/(Area + V_in/0.086888544))),PySRFunction(X=>C_in*(-1*(-0.19103879) + exp(-0.072626285*Distance/(Area + V_in/0.086888544))))
11,16,0.6753879,(exp(Distance * (-0.075413354 / (Area + (V_in / 0.07348172)))) - -0.20613073) * (C_in + -0.39261833),0.03411327351833595,(C_in - 0.39261833)*(exp(Distance*(-0.075413354)/(Area + V_in/0.07348172)) - 1*(-0.20613073)),PySRFunction(X=>(C_in - 0.39261833)*(exp(Distance*(-0.075413354)/(Area + V_in/0.07348172)) - 1*(-0.20613073)))
12,18,0.64221174,(exp((Distance * -0.07083088) / ((V_in / 0.06763224) + Area)) - -0.14895022) * (1.0623782 * (C_in + -0.49821317)),0.025184565041923113,(exp(Distance*(-0.07083088)/(Area + V_in/0.06763224)) - 1*(-0.14895022))*1.0623782*(C_in - 0.49821317),PySRFunction(X=>(exp(Distance*(-0.07083088)/(Area + V_in/0.06763224)) - 1*(-0.14895022))*1.0623782*(C_in - 0.49821317))
13,20,0.6322182,((C_in + -0.87066) * ((exp((Distance * -0.070966445) / ((V_in / 0.06965119) + Area)) - -0.13918799) * 1.0793175)) - -0.29475138,0.007841737336219448,(C_in - 0.87066)*(exp(Distance*(-0.070966445)/(Area + V_in/0.06965119)) - 1*(-0.13918799))*1.0793175 - 1*(-0.29475138),PySRFunction(X=>(C_in - 0.87066)*(exp(Distance*(-0.070966445)/(Area + V_in/0.06965119)) - 1*(-0.13918799))*1.0793175 - 1*(-0.29475138))
14,21,0.6203134,((1.0376921 * C_in) - 0.6132361) * (exp(Distance * (-0.06560722 / ((Area + (V_in / 0.09080821)) - inv(V_in)))) - -0.18082322),0.019009753529085485,(1.0376921*C_in - 1*0.6132361)*(exp(Distance*(-0.06560722)/(Area + V_in/0.09080821 - 1/V_in)) - 1*(-0.18082322)),PySRFunction(X=>(1.0376921*C_in - 1*0.6132361)*(exp(Distance*(-0.06560722)/(Area + V_in/0.09080821 - 1/V_in)) - 1*(-0.18082322)))
15,22,0.60082287,(C_in - 0.43077853) * ((exp((Distance * -0.0689017) / ((sqrt(V_in) / 0.06171862) + (Area - inv(V_in)))) * 1.0782578) - -0.13525283),0.03192466855861579,(0.13525283 + 1.0782578*exp(-0.0689017*Distance/(Area + 16.2025657735056*sqrt(V_in) - 1/V_in)))*(C_in - 0.43077853),PySRFunction(X=>(0.13525283 + 1.0782578*exp(-0.0689017*Distance/(Area + 16.2025657735056*sqrt(V_in) - 1/V_in)))*(C_in - 0.43077853))
