,Loss
0,11.541728062239612
1,6.131110068266223
2,5.931425046837439
3,5.884959292378909
4,5.844047601204376
5,5.84485100012001
6,5.791488654167114
7,5.717292249257718
8,5.752805920960175
9,5.784625446510494
10,5.719735748265194
11,5.781927142620351
12,5.686558112542739
13,5.738068482583348
14,5.71127655793613
15,5.674193042852234
16,5.6896353309851735
17,5.660833527657052
18,5.742656767650366
19,5.660038564704979
20,5.690781463153456
21,5.635022300335563
22,5.647421591987163
23,5.663279779717362
24,5.692834646549339
25,5.638184205340725
26,5.600396976394018
27,5.6768022806055125
28,5.645034104581779
29,5.684083154724414
30,5.667800916538529
31,5.633410588334892
32,5.648020148796536
33,5.563374932897212
34,5.648246727888168
35,5.639669258678079
36,5.738646020156793
37,5.610511664195868
38,5.679331555944348
39,5.634810438957298
40,5.641788842999979
41,5.622640054874905
42,5.589106752984612
43,5.6765525705131346
44,5.563215714611914
45,5.581634030715822
46,5.597076174476432
47,5.614624654563005
48,5.602667748479814
49,5.575021203648005
50,5.596479942607545
51,5.577141322626704
52,5.6553013459115675
53,5.557091743864187
54,5.597940709040516
55,5.582025761346258
56,5.560004763372845
57,5.60472065450968
58,5.62285031614348
59,5.572731709225932
60,5.598911228931301
61,5.630316992448395
62,5.584597477967404
63,5.607311425237771
64,5.593145230030975
