,complexity,loss,equation,score,sympy_format,lambda_format
0,1,81.96607,5.827735,0.0,5.82773500000000,PySRFunction(X=>5.82773500000000)
1,2,77.1363,sqrt(C_in),0.060731394255377776,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,52.4864,C_in / 1.9153551,0.38501989847040174,C_in/1.9153551,PySRFunction(X=>C_in/1.9153551)
3,5,52.21932,(C_in * 0.490289) - -0.7092641,0.0025507735322092455,C_in*0.490289 - 1*(-0.7092641),PySRFunction(X=>C_in*0.490289 - 1*(-0.7092641))
4,6,51.555153,(C_in * 0.086453) * sqrt(Area),0.012800374685585321,0.086453*sqrt(Area)*C_in,PySRFunction(X=>0.086453*sqrt(Area)*C_in)
5,7,46.076527,((Distance * -0.0005278679) + 0.81185055) * C_in,0.112348522046252,C_in*(0.81185055 + Distance*(-0.0005278679)),PySRFunction(X=>C_in*(0.81185055 + Distance*(-0.0005278679)))
6,8,45.69758,(1.0177046 - (sqrt(Distance) * 0.022374459)) * C_in,0.008258302173740744,C_in*(1.0177046 - 0.022374459*sqrt(Distance)),PySRFunction(X=>C_in*(1.0177046 - 0.022374459*sqrt(Distance)))
7,9,45.4066,((47.54782 - (Distance / Area)) * 0.01660917) * C_in,0.006387873519103744,(47.54782 - Distance/Area)*0.01660917*C_in,PySRFunction(X=>(47.54782 - Distance/Area)*0.01660917*C_in)
8,10,44.64518,(C_in * 0.1308865) * (7.750919 - sqrt(Distance / Area)),0.016911118163274758,0.1308865*C_in*(7.750919 - sqrt(Distance/Area)),PySRFunction(X=>0.1308865*C_in*(7.750919 - sqrt(Distance/Area)))
9,11,44.57873,C_in * (((Distance * -0.00053490186) - (C_in * 0.0033444017)) + 0.94186306),0.0014895113268572583,C_in*(-0.0033444017*C_in + Distance*(-0.00053490186) + 0.94186306),PySRFunction(X=>C_in*(-0.0033444017*C_in + Distance*(-0.00053490186) + 0.94186306))
10,12,44.39537,(C_in * 0.13736103) * (7.7318935 - sqrt((C_in + Distance) / Area)),0.004121654719230486,0.13736103*C_in*(7.7318935 - sqrt((C_in + Distance)/Area)),PySRFunction(X=>0.13736103*C_in*(7.7318935 - sqrt((C_in + Distance)/Area)))
11,14,44.26009,C_in * ((7.805315 - sqrt((C_in + (C_in + Distance)) / Area)) * 0.14028059),0.0015259083309153367,C_in*(1.09493419333585 - 0.14028059*sqrt((2*C_in + Distance)/Area)),PySRFunction(X=>C_in*(1.09493419333585 - 0.14028059*sqrt((2*C_in + Distance)/Area)))
12,15,43.672478,(8.374372 - sqrt(exp(C_in / Area) + (Distance / Area))) * (C_in * 0.13131298),0.01336525841198542,0.13131298*C_in*(8.374372 - sqrt(exp(C_in/Area) + Distance/Area)),PySRFunction(X=>0.13131298*C_in*(8.374372 - sqrt(exp(C_in/Area) + Distance/Area)))
13,17,43.01895,(C_in * 0.14692199) * (7.798593 - sqrt(square((Area - C_in) / -16.39334) + (Distance / Area))),0.007538696679170146,0.14692199*C_in*(7.798593 - sqrt((-0.0610003818623905*Area + 0.0610003818623905*C_in)**2 + Distance/Area)),PySRFunction(X=>0.14692199*C_in*(7.798593 - sqrt((-0.0610003818623905*Area + 0.0610003818623905*C_in)**2 + Distance/Area)))
14,19,42.83584,(C_in * ((7.6636353 - sqrt((Distance / Area) + square((C_in - Area) / -15.731551))) * 0.14393896)) - -0.5692069,0.002132790466824411,C_in*(1.10309569490129 - 0.14393896*sqrt((0.0635665230974365*Area - 0.0635665230974365*C_in)**2 + Distance/Area)) + 0.5692069,PySRFunction(X=>C_in*(1.10309569490129 - 0.14393896*sqrt((0.0635665230974365*Area - 0.0635665230974365*C_in)**2 + Distance/Area)) + 0.5692069)
15,21,42.833538,(C_in * ((7.6636353 - sqrt((Distance / Area) + square((C_in - (Area + 1.2401155)) / -15.731551))) * 0.14393896)) - -0.5692069,2.6870744883389533e-05,C_in*(1.10309569490129 - 0.14393896*sqrt((0.0635665230974365*Area - 0.0635665230974365*C_in + 0.078829830574239)**2 + Distance/Area)) + 0.5692069,PySRFunction(X=>C_in*(1.10309569490129 - 0.14393896*sqrt((0.0635665230974365*Area - 0.0635665230974365*C_in + 0.078829830574239)**2 + Distance/Area)) + 0.5692069)
16,25,42.553894,(C_in * 0.14692199) * (7.798593 - sqrt(square(((Area - C_in) + (-16.538925 / ((Area + Area) - C_in))) / -16.39334) + (Distance / Area))),0.0016375067925285226,0.14692199*C_in*(7.798593 - sqrt((-0.0610003818623905*Area + 0.0610003818623905*C_in + 1.00888074059344/(2*Area - C_in))**2 + Distance/Area)),PySRFunction(X=>0.14692199*C_in*(7.798593 - sqrt((-0.0610003818623905*Area + 0.0610003818623905*C_in + 1.00888074059344/(2*Area - C_in))**2 + Distance/Area)))
