,complexity,loss,equation,score,sympy_format,lambda_format
0,1,35.93796,5.777469,0.0,5.77746900000000,PySRFunction(X=>5.77746900000000)
1,2,31.377844,sqrt(C_in),0.13569207971342281,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,8.469831,C_in * 0.5112586,1.3095914830718214,C_in*0.5112586,PySRFunction(X=>C_in*0.5112586)
3,5,8.107997,(-1.7395767 - C_in) * -0.47424915,0.021829848552826887,(-C_in - 1.7395767)*(-0.47424915),PySRFunction(X=>(-C_in - 1.7395767)*(-0.47424915))
4,6,1.9706248,C_in * exp(Distance * -0.001243451),1.4145002087582124,C_in*exp(Distance*(-0.001243451)),PySRFunction(X=>C_in*exp(Distance*(-0.001243451)))
5,7,1.7462721,C_in / ((Distance * 0.0024955168) + 0.97694397),0.12086736262682127,C_in/(Distance*0.0024955168 + 0.97694397),PySRFunction(X=>C_in/(Distance*0.0024955168 + 0.97694397))
6,8,1.1311462,C_in / exp(Distance * (0.047501765 / Area)),0.4342518322837187,C_in/exp(Distance*0.047501765/Area),PySRFunction(X=>C_in/exp(Distance*0.047501765/Area))
7,9,0.6948869,C_in / (1.0259799 + (0.072696015 * (Distance / Area))),0.48723763538887743,C_in/(1.0259799 + 0.072696015*Distance/Area),PySRFunction(X=>C_in/(1.0259799 + 0.072696015*Distance/Area))
8,10,0.6608753,C_in / square(((Distance * 0.027547235) / Area) + 1.0329396),0.05018393001011218,C_in/((1.0329396 + Distance*0.027547235/Area)**2),PySRFunction(X=>C_in/((1.0329396 + Distance*0.027547235/Area)**2))
9,11,0.5144408,C_in / exp(0.039636053 * ((Distance / Area) + inv(V_in))),0.25048468301344085,C_in/exp(0.039636053*(1/V_in + Distance/Area)),PySRFunction(X=>C_in/exp(0.039636053*(1/V_in + Distance/Area)))
10,13,0.40106922,C_in / (((Distance / ((V_in * 19.965393) + Area)) * 0.09520401) + 1.0185694),0.12447322731106113,C_in/(Distance*0.09520401/(Area + V_in*19.965393) + 1.0185694),PySRFunction(X=>C_in/(Distance*0.09520401/(Area + V_in*19.965393) + 1.0185694))
11,15,0.38209188,C_in / (((Distance * 0.081188746) / ((V_in * 20.10547) + (Area + -6.335119))) + 1.0235277),0.02423646380897652,C_in/(Distance*0.081188746/(Area + V_in*20.10547 - 6.335119) + 1.0235277),PySRFunction(X=>C_in/(Distance*0.081188746/(Area + V_in*20.10547 - 6.335119) + 1.0235277))
12,16,0.30194387,C_in * (square((Distance * (-0.027343394 / (Area - (V_in * -21.704674)))) + 0.81866807) + 0.22814481),0.23541996407219573,C_in*((Distance*(-0.027343394)/(Area - (-21.704674)*V_in) + 0.81866807)**2 + 0.22814481),PySRFunction(X=>C_in*((Distance*(-0.027343394)/(Area - (-21.704674)*V_in) + 0.81866807)**2 + 0.22814481))
13,18,0.30158502,(0.22814481 + square(0.81866807 + (Distance * (-0.027343394 / (Area - (V_in * -21.704674)))))) * (C_in - -0.027343394),0.000594586354082319,(C_in - 1*(-0.027343394))*((Distance*(-0.027343394)/(Area - (-21.704674)*V_in) + 0.81866807)**2 + 0.22814481),PySRFunction(X=>(C_in - 1*(-0.027343394))*((Distance*(-0.027343394)/(Area - (-21.704674)*V_in) + 0.81866807)**2 + 0.22814481))
14,19,0.29920137,(C_in * (exp(square(((Distance * -0.021750992) / (Area - (V_in * -16.151049))) + 0.72340196)) + -0.76283664)) + 0.1437636,0.00793514149842557,C_in*(exp((Distance*(-0.021750992)/(Area - (-16.151049)*V_in) + 0.72340196)**2) - 0.76283664) + 0.1437636,PySRFunction(X=>C_in*(exp((Distance*(-0.021750992)/(Area - (-16.151049)*V_in) + 0.72340196)**2) - 0.76283664) + 0.1437636)
