,Loss
0,98.93046538636594
1,86.35158857421297
2,85.50668900581528
3,85.57968129774066
4,85.465430123365
5,85.30411644718615
6,85.2036372474307
7,84.7688673311281
8,84.94052197346532
9,85.06921912055418
10,84.60612274823947
11,85.17803872898543
12,84.54960397570377
13,84.67578777260636
14,84.76039311014677
15,84.49362667532628
16,84.37417040324611
17,84.48333509246626
18,84.86792176312228
19,84.34800376427837
20,84.57902094388845
21,84.3531647724776
22,84.81120534746708
23,84.43090571791738
24,84.71478056677796
25,84.44546984217266
26,84.07836957431306
27,84.45993450451779
28,84.30702360503354
29,84.39199455696112
30,84.4985624924569
31,84.24313954219903
32,84.23294604945175
33,83.91056456464206
34,84.50150069635356
35,84.2626983540727
36,84.53301245801332
37,84.204493621139
38,84.51307939291463
39,84.12730662056606
40,84.22809911522062
41,83.78856041262192
42,84.16187977233375
43,84.3808449436736
44,83.966440237522
45,84.04538097912534
46,83.99578505481753
47,84.09248378578523
48,84.15029274422879
49,83.90863471263015
50,84.12839241861643
51,84.11324512402959
52,84.02378790535832
