,complexity,loss,equation,score,sympy_format,lambda_format
0,1,35.0431,5.711818,0.0,5.71181800000000,PySRFunction(X=>5.71181800000000)
1,2,30.32023,sqrt(C_in),0.14476358597717948,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,8.353345,C_in / 1.9809642,1.2891530890504963,C_in/1.9809642,PySRFunction(X=>C_in/1.9809642)
3,5,7.9875283,(C_in * 0.46761137) - -0.8293818,0.022390347356755717,C_in*0.46761137 - 1*(-0.8293818),PySRFunction(X=>C_in*0.46761137 - 1*(-0.8293818))
4,6,7.8486967,(sqrt(C_in) + C_in) / 2.3636937,0.017533870200515705,0.423066660456048*sqrt(C_in) + 0.423066660456048*C_in,PySRFunction(X=>0.423066660456048*sqrt(C_in) + 0.423066660456048*C_in)
5,7,1.9869275,C_in / exp(sqrt(Distance) / Area),1.3737580167954304,C_in*exp(-sqrt(Distance)/Area),PySRFunction(X=>C_in*exp(-sqrt(Distance)/Area))
6,8,1.1494964,C_in / exp((Distance / Area) / 20.631405),0.5472655423176622,C_in/exp(Distance/(20.631405*Area)),PySRFunction(X=>C_in/exp(Distance/(20.631405*Area)))
7,9,0.67905545,C_in / (((Distance / Area) / 13.540643) + 1.0364342),0.5263764239654665,C_in/(1.0364342 + Distance/(13.540643*Area)),PySRFunction(X=>C_in/(1.0364342 + Distance/(13.540643*Area)))
8,11,0.5023632,C_in / exp((inv(V_in) + (Distance / Area)) / 25.206573),0.15068971218644123,C_in/exp((1/V_in + Distance/Area)/25.206573),PySRFunction(X=>C_in/exp((1/V_in + Distance/Area)/25.206573))
9,12,0.42031807,C_in / (((Distance / Area) / (16.028978 - inv(V_in))) + 1.0272472),0.1783116298764893,C_in/(1.0272472 + Distance/(Area*(16.028978 - 1/V_in))),PySRFunction(X=>C_in/(1.0272472 + Distance/(Area*(16.028978 - 1/V_in))))
10,13,0.3905387,C_in / ((((Distance / Area) / (V_in - -1.4008895)) / 7.1770906) + 1.0452368),0.07348466610458028,C_in/(1.0452368 + Distance/(7.1770906*Area*(V_in - 1*(-1.4008895)))),PySRFunction(X=>C_in/(1.0452368 + Distance/(7.1770906*Area*(V_in - 1*(-1.4008895)))))
11,14,0.3739872,C_in / ((((Distance / Area) / sqrt(V_in - -0.35288438)) / 14.92506) + 1.0376917),0.04330549585255384,C_in/(1.0376917 + 0.0670014056894914*Distance/(Area*sqrt(V_in + 0.35288438))),PySRFunction(X=>C_in/(1.0376917 + 0.0670014056894914*Distance/(Area*sqrt(V_in + 0.35288438))))
12,15,0.30321306,((C_in / V_in) * -0.030410817) + (C_in / (((Distance / Area) / 17.754873) + 0.9741904)),0.20978584551073495,C_in/(0.9741904 + Distance/(17.754873*Area)) + C_in*(-0.030410817)/V_in,PySRFunction(X=>C_in/(0.9741904 + Distance/(17.754873*Area)) + C_in*(-0.030410817)/V_in)
