,complexity,loss,equation,score,sympy_format,lambda_format
0,1,73.11855,5.7170277,0.0,5.71702770000000,PySRFunction(X=>5.71702770000000)
1,2,67.97725,sqrt(C_in),0.0729090061582258,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,44.88442,C_in * 0.5115929,0.41508234916167713,C_in*0.5115929,PySRFunction(X=>C_in*0.5115929)
3,5,44.61936,(C_in / 2.083841) + 0.7064851,0.002961447827941819,C_in/2.083841 + 0.7064851,PySRFunction(X=>C_in/2.083841 + 0.7064851)
4,6,43.869877,inv((1.5901115 / C_in) + 0.010395043),0.01693993412185333,1/(0.010395043 + 1.5901115/C_in),PySRFunction(X=>1/(0.010395043 + 1.5901115/C_in))
5,7,38.296474,(C_in / (Distance + 523.23004)) * 499.3047,0.13587008215048654,C_in*499.3047/(Distance + 523.23004),PySRFunction(X=>C_in*499.3047/(Distance + 523.23004))
6,8,38.107517,inv(exp(sqrt(Distance) / Area) / C_in),0.00494627002521825,C_in*exp(-sqrt(Distance)/Area),PySRFunction(X=>C_in*exp(-sqrt(Distance)/Area))
7,9,37.220768,C_in / (((Distance / 13.948002) / Area) + 1.0339267),0.023544674191238853,C_in/(1.0339267 + Distance/(13.948002*Area)),PySRFunction(X=>C_in/(1.0339267 + Distance/(13.948002*Area)))
8,11,37.175945,(C_in / (((Distance / 13.391004) / Area) + 1.0496687)) + 0.29144678,0.0006024863682274792,C_in/(1.0496687 + Distance/(13.391004*Area)) + 0.29144678,PySRFunction(X=>C_in/(1.0496687 + Distance/(13.391004*Area)) + 0.29144678)
9,12,36.97617,inv(((((Distance + C_in) / 14.189208) / Area) + 0.9707377) / C_in),0.005388261234213094,C_in/(0.9707377 + (C_in + Distance)/(14.189208*Area)),PySRFunction(X=>C_in/(0.9707377 + (C_in + Distance)/(14.189208*Area)))
10,13,36.93691,inv((((Distance / (18.111546 - sqrt(C_in))) / Area) + 1.0365187) / C_in),0.001062328986756394,C_in/(1.0365187 + Distance/(Area*(18.111546 - sqrt(C_in)))),PySRFunction(X=>C_in/(1.0365187 + Distance/(Area*(18.111546 - sqrt(C_in)))))
11,14,36.371143,inv((((Distance / ((C_in * -0.16284415) + 21.231453)) / Area) + 1.05597) / C_in),0.015435636606151618,C_in/(1.05597 + Distance/(Area*(21.231453 + C_in*(-0.16284415)))),PySRFunction(X=>C_in/(1.05597 + Distance/(Area*(21.231453 + C_in*(-0.16284415)))))
12,16,36.051987,inv(((((Distance / 15.553854) + exp(sqrt(C_in) + -5.9909735)) / Area) + 1.0087166) / C_in),0.0044068527007574965,C_in/(1.0087166 + (0.0642927469937676*Distance + 0.00250122791922837*exp(sqrt(C_in)))/Area),PySRFunction(X=>C_in/(1.0087166 + (0.0642927469937676*Distance + 0.00250122791922837*exp(sqrt(C_in)))/Area))
13,17,35.744507,inv(((((exp((C_in * 0.17984372) + -10.241609) + Distance) / 15.254809) / Area) + 1.0212557) / C_in),0.008565373118897745,C_in/(1.0212557 + (Distance + exp(C_in*0.17984372 - 10.241609))/(15.254809*Area)),PySRFunction(X=>C_in/(1.0212557 + (Distance + exp(C_in*0.17984372 - 10.241609))/(15.254809*Area)))
14,21,35.65484,(inv(((((Distance + exp((C_in * 0.18936726) + -11.111813)) / 16.655365) / Area) + 0.9887535) / C_in) - 1.4406686) + V_in,0.0006279262409773287,C_in/(0.9887535 + (Distance + exp(C_in*0.18936726 - 11.111813))/(16.655365*Area)) + V_in - 1*1.4406686,PySRFunction(X=>C_in/(0.9887535 + (Distance + exp(C_in*0.18936726 - 11.111813))/(16.655365*Area)) + V_in - 1*1.4406686)
15,23,35.64144,inv(((((exp((C_in * 0.19342384) + -11.501269) + Distance) / 16.499363) / Area) + 0.9968886) / C_in) + ((V_in * 0.77135086) + -1.1402222),0.00018794809712060977,C_in/(0.9968886 + (Distance + exp(C_in*0.19342384 - 11.501269))/(16.499363*Area)) + V_in*0.77135086 - 1.1402222,PySRFunction(X=>C_in/(0.9968886 + (Distance + exp(C_in*0.19342384 - 11.501269))/(16.499363*Area)) + V_in*0.77135086 - 1.1402222)
